log,LineId,Month,Date,Time,Level,Component,PID,Content,EventId,EventTemplate
Jun 14 15:16:01 combo sshd(pam_unix)[19939]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,1,Jun,14,15:16:01,combo,sshd(pam_unix),19939.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>
Jun 14 15:16:02 combo sshd(pam_unix)[19937]: check pass; user unknown,2,Jun,14,15:16:02,combo,sshd(pam_unix),19937.0,check pass; user unknown,E27,check pass; user unknown
Jun 14 15:16:02 combo sshd(pam_unix)[19937]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,3,Jun,14,15:16:02,combo,sshd(pam_unix),19937.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>
Jun 15 02:04:59 combo sshd(pam_unix)[20882]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,4,Jun,15,02:04:59,combo,sshd(pam_unix),20882.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E18,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>  user=root
Jun 15 02:04:59 combo sshd(pam_unix)[20884]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,5,Jun,15,02:04:59,combo,sshd(pam_unix),20884.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E18,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>  user=root
Jun 15 02:04:59 combo sshd(pam_unix)[20883]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,6,Jun,15,02:04:59,combo,sshd(pam_unix),20883.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E18,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>  user=root
Jun 15 02:04:59 combo sshd(pam_unix)[20885]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,7,Jun,15,02:04:59,combo,sshd(pam_unix),20885.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E18,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>  user=root
Jun 15 02:04:59 combo sshd(pam_unix)[20886]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,8,Jun,15,02:04:59,combo,sshd(pam_unix),20886.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E18,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>  user=root
Jun 15 02:04:59 combo sshd(pam_unix)[20892]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,9,Jun,15,02:04:59,combo,sshd(pam_unix),20892.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E18,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>  user=root
Jun 15 02:04:59 combo sshd(pam_unix)[20893]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,10,Jun,15,02:04:59,combo,sshd(pam_unix),20893.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E18,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>  user=root
Jun 15 02:04:59 combo sshd(pam_unix)[20896]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,11,Jun,15,02:04:59,combo,sshd(pam_unix),20896.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E18,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>  user=root
Jun 15 02:04:59 combo sshd(pam_unix)[20897]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,12,Jun,15,02:04:59,combo,sshd(pam_unix),20897.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E18,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>  user=root
Jun 15 02:04:59 combo sshd(pam_unix)[20898]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,13,Jun,15,02:04:59,combo,sshd(pam_unix),20898.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E18,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>  user=root
Jun 15 04:06:18 combo su(pam_unix)[21416]: session opened for user cyrus by (uid=0),14,Jun,15,04:06:18,combo,su(pam_unix),21416.0,session opened for user cyrus by (uid=0),E102,session opened for user <*> by (uid=<*>)
Jun 15 04:06:19 combo su(pam_unix)[21416]: session closed for user cyrus,15,Jun,15,04:06:19,combo,su(pam_unix),21416.0,session closed for user cyrus,E101,session closed for user <*>
Jun 15 04:06:20 combo logrotate: ALERT exited abnormally with [1],16,Jun,15,04:06:20,combo,logrotate,,ALERT exited abnormally with [1],E8,ALERT exited abnormally with [1]
Jun 15 04:12:42 combo su(pam_unix)[22644]: session opened for user news by (uid=0),17,Jun,15,04:12:42,combo,su(pam_unix),22644.0,session opened for user news by (uid=0),E102,session opened for user <*> by (uid=<*>)
Jun 15 04:12:43 combo su(pam_unix)[22644]: session closed for user news,18,Jun,15,04:12:43,combo,su(pam_unix),22644.0,session closed for user news,E101,session closed for user <*>
Jun 15 12:12:34 combo sshd(pam_unix)[23397]: check pass; user unknown,19,Jun,15,12:12:34,combo,sshd(pam_unix),23397.0,check pass; user unknown,E27,check pass; user unknown
Jun 15 12:12:34 combo sshd(pam_unix)[23397]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,20,Jun,15,12:12:34,combo,sshd(pam_unix),23397.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>
Jun 15 12:12:34 combo sshd(pam_unix)[23395]: check pass; user unknown,21,Jun,15,12:12:34,combo,sshd(pam_unix),23395.0,check pass; user unknown,E27,check pass; user unknown
Jun 15 12:12:34 combo sshd(pam_unix)[23395]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,22,Jun,15,12:12:34,combo,sshd(pam_unix),23395.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>
Jun 15 12:12:34 combo sshd(pam_unix)[23404]: check pass; user unknown,23,Jun,15,12:12:34,combo,sshd(pam_unix),23404.0,check pass; user unknown,E27,check pass; user unknown
Jun 15 12:12:34 combo sshd(pam_unix)[23404]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,24,Jun,15,12:12:34,combo,sshd(pam_unix),23404.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>
Jun 15 12:12:34 combo sshd(pam_unix)[23399]: check pass; user unknown,25,Jun,15,12:12:34,combo,sshd(pam_unix),23399.0,check pass; user unknown,E27,check pass; user unknown
Jun 15 12:12:34 combo sshd(pam_unix)[23399]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,26,Jun,15,12:12:34,combo,sshd(pam_unix),23399.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>
Jun 15 12:12:34 combo sshd(pam_unix)[23406]: check pass; user unknown,27,Jun,15,12:12:34,combo,sshd(pam_unix),23406.0,check pass; user unknown,E27,check pass; user unknown
Jun 15 12:12:34 combo sshd(pam_unix)[23406]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,28,Jun,15,12:12:34,combo,sshd(pam_unix),23406.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>
Jun 15 12:12:34 combo sshd(pam_unix)[23396]: check pass; user unknown,29,Jun,15,12:12:34,combo,sshd(pam_unix),23396.0,check pass; user unknown,E27,check pass; user unknown
Jun 15 12:12:34 combo sshd(pam_unix)[23394]: check pass; user unknown,30,Jun,15,12:12:34,combo,sshd(pam_unix),23394.0,check pass; user unknown,E27,check pass; user unknown
Jun 15 12:12:34 combo sshd(pam_unix)[23407]: check pass; user unknown,31,Jun,15,12:12:34,combo,sshd(pam_unix),23407.0,check pass; user unknown,E27,check pass; user unknown
Jun 15 12:12:34 combo sshd(pam_unix)[23394]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,32,Jun,15,12:12:34,combo,sshd(pam_unix),23394.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>
