LineId,Date,Time,Pid,Tid,Level,Component,Content,EventId,EventTemplate,AnomalyLabel,AnomalyLabelName,Source
1,03-17,16:13:38.811,1702,2395,D,WindowManager,"printFreezingDisplayLogsopening app wtoken = AppWindowToken{9f4ef63 token=Token{a64f992 ActivityRecord{de9231d u0 com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity t761}}}, allDrawn= false, startingDisplayed =  false, startingMoved =  false, isRelaunching =  false",E100,"printFreezingDisplayLogsopening app wtoken = AppWindowToken{<*> token=Token{<*> ActivityRecord{<*> u0 <*>/.<*> t761}}}, allDrawn= false, startingDisplayed =  false, startingMoved =  false, isRelaunching =  false",0,normal,Android_2k
2,03-17,16:13:38.819,1702,8671,D,PowerManagerService,"acquire lock=233570404, flags=0x1, tag=""View Lock"", name=com.android.systemui, ws=null, uid=10037, pid=2227",E10,"acquire lock=<*>, flags=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>",0,normal,Android_2k
3,03-17,16:13:38.820,1702,8671,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x23,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",E103,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=<*>,adj=<*>.0userId=<*>",0,normal,Android_2k
4,03-17,16:13:38.839,1702,2113,V,WindowManager,Skipping AppWindowToken{df0798e token=Token{78af589 ActivityRecord{3b04890 u0 com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity t761}}} -- going to hide,E131,Skipping AppWindowToken{<*> token=Token{<*> ActivityRecord{<*> u0 <*>}}} -- going to hide,0,normal,Android_2k
5,03-17,16:13:38.859,2227,2227,D,TextView,visible is system.time.showampm,E165,visible is <*>,0,normal,Android_2k
6,03-17,16:13:38.861,2227,2227,D,TextView,mVisiblity.getValue is false,E82,mVisiblity.getValue is false,0,normal,Android_2k
7,03-17,16:13:38.869,2227,2227,D,TextView,visible is system.charge.show,E165,visible is <*>,0,normal,Android_2k
8,03-17,16:13:38.871,2227,2227,D,TextView,mVisiblity.getValue is false,E82,mVisiblity.getValue is false,0,normal,Android_2k
9,03-17,16:13:38.875,2227,2227,D,TextView,visible is system.call.count gt 0,E166,visible is <*> gt <*>,0,normal,Android_2k
10,03-17,16:13:38.877,2227,2227,D,TextView,mVisiblity.getValue is false,E82,mVisiblity.getValue is false,0,normal,Android_2k
11,03-17,16:13:38.881,2227,2227,D,TextView,visible is system.message.count gt 0,E166,visible is <*> gt <*>,0,normal,Android_2k
12,03-17,16:13:38.882,2227,2227,D,TextView,mVisiblity.getValue is false,E82,mVisiblity.getValue is false,0,normal,Android_2k
13,03-17,16:13:38.887,2227,2227,D,TextView,visible is system.ownerinfo.show,E165,visible is <*>,0,normal,Android_2k
14,03-17,16:13:38.888,2227,2227,D,TextView,mVisiblity.getValue is false,E82,mVisiblity.getValue is false,0,normal,Android_2k
