template,count,percentage,samples,suggested,confidence,label,notes
"setSystemUiVisibility vis=<*> mask=<*> oldVal=<*> newVal=<*> diff=<*> fullscreenStackVis=<*> dockedStackVis=<*>, fullscreenStackBounds=Rect(<*>, <*> - <*>, <*>), dockedStackBounds=Rect(<*>, <*> - <*>, <*>)",200,10.0,"[""setSystemUiVisibility vis=40000500 mask=ffffffff oldVal=508 newVal=40000500 diff=40000008 fullscreenStackVis=0 dockedStackVis=0, fullscreenStackBounds=Rect(0, 0 - 720, 1280), dockedStackBounds=Rect(0, 0 - 0, 0)"", ""setSystemUiVisibility vis=508 mask=ffffffff oldVal=40000500 newVal=508 diff=40000008 fullscreenStackVis=0 dockedStackVis=0, fullscreenStackBounds=Rect(0, 0 - 720, 1280), dockedStackBounds=Rect(0, 0 - 0, 0)"", ""setSystemUiVisibility vis=40000500 mask=ffffffff oldVal=508 newVal=40000500 diff=40000008 fullscreenStackVis=0 dockedStackVis=0, fullscreenStackBounds=Rect(0, 0 - 720, 1280), dockedStackBounds=Rect(0, 0 - 0, 0)""]",0,high,0,Auto-labeled (high confidence)
"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=<*>,adj=<*>.0userId=<*>",199,9.950000000000001,"[""ready=true,policy=3,wakefulness=1,wksummary=0x23,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0"", ""ready=true,policy=3,wakefulness=1,wksummary=0x23,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0"", ""ready=true,policy=3,wakefulness=1,wksummary=0x23,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0""]",0,high,0,Auto-labeled (high confidence)
setLightsOn(true),181,9.049999999999999,"[""setLightsOn(true)"", ""setLightsOn(true)"", ""setLightsOn(true)""]",0,high,0,Auto-labeled (high confidence)
HBM brightnessOut =<*>,85,4.25,"[""HBM brightnessOut =38"", ""HBM brightnessOut =38"", ""HBM brightnessOut =38""]",0,high,0,Auto-labeled (high confidence)
HBM brightnessIn =<*>,85,4.25,"[""HBM brightnessIn =38"", ""HBM brightnessIn =38"", ""HBM brightnessIn =38""]",0,high,0,Auto-labeled (high confidence)
"Animating brightness: target=<*>, rate=<*>",85,4.25,"[""Animating brightness: target=38, rate=200"", ""Animating brightness: target=38, rate=200"", ""Animating brightness: target=38, rate=200""]",0,high,0,Auto-labeled (high confidence)
getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output,81,4.05,"[""getRunningAppProcesses: caller 10113 does not hold REAL_GET_TASKS; limiting output"", ""getRunningAppProcesses: caller 10113 does not hold REAL_GET_TASKS; limiting output"", ""getRunningAppProcesses: caller 10111 does not hold REAL_GET_TASKS; limiting output""]",0,high,0,Auto-labeled (high confidence)
"userActivityNoUpdateLocked: eventTime=<*>, event=<*>, flags=<*>, uid=<*>",69,3.45,"[""userActivityNoUpdateLocked: eventTime=261843648, event=0, flags=0x1, uid=1000"", ""userActivityNoUpdateLocked: eventTime=261849942, event=2, flags=0x0, uid=1000"", ""userActivityNoUpdateLocked: eventTime=261849949, event=1, flags=0x0, uid=1000""]",0,high,0,Auto-labeled (high confidence)
updateDimmedActivatedHideSensitive overlap:false,52,2.6,"[""updateDimmedActivatedHideSensitive overlap:false"", ""updateDimmedActivatedHideSensitive overlap:false"", ""updateDimmedActivatedHideSensitive overlap:false""]",0,high,0,Auto-labeled (high confidence)
"updateClipping isOverlap:false, getTopPadding=<*>.<*>, Translation=<*>.<*>",52,2.6,"[""updateClipping isOverlap:false, getTopPadding=333.0, Translation=-24.0"", ""updateClipping isOverlap:false, getTopPadding=333.0, Translation=-293.0"", ""updateClipping isOverlap:false, getTopPadding=333.0, Translation=-250.0""]",0,high,0,Auto-labeled (high confidence)
