template,count,percentage,samples,suggested,confidence,label,notes
generating core.<*>,721,36.05,"[""generating core.2275"", ""generating core.862"", ""generating core.728""]",0,low,2,
iar <*> dear <*>,208,10.4,"[""iar 003a90fc dear 00b360e8"", ""iar 003a90dc dear 00b35148"", ""iar 003a90fc dear 00b35db8""]",0,low,0,
<*> floating point alignment exceptions,121,6.05,"[""8 floating point alignment exceptions"", ""8 floating point alignment exceptions"", ""8 floating point alignment exceptions""]",0,low,6,
<*> double-hummer alignment exceptions,109,5.45,"[""63543 double-hummer alignment exceptions"", ""162 double-hummer alignment exceptions"", ""141 double-hummer alignment exceptions""]",0,low,6,
"CE sym <*>, at <*>, mask <*>",92,4.6,"[""CE sym 2, at 0x0b85eee0, mask 0x05"", ""CE sym 20, at 0x1438f9e0, mask 0x40"", ""CE sym 20, at 0x01228120, mask 0x10""]",0,low,6,
"<*> total interrupts. 0 critical input interrupts. <*> microseconds total spent on critical input interrupts, <*> microseconds max time in a critical input interrupt.",71,3.55,"[""10722 total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt."", ""10740 total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt."", ""10744 total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt.""]",5,low,5,
data TLB error interrupt,60,3.0,"[""data TLB error interrupt"", ""data TLB error interrupt"", ""data TLB error interrupt""]",2,low,2,
<*> microseconds spent in the rbs signal handler during <*> calls. <*> microseconds was the maximum time for a single instance of a correctable ddr.,51,2.55,"[""0 microseconds spent in the rbs signal handler during 0 calls. 0 microseconds was the maximum time for a single instance of a correctable ddr."", ""0 microseconds spent in the rbs signal handler during 0 calls. 0 microseconds was the maximum time for a single instance of a correctable ddr."", ""0 microseconds spent in the rbs signal handler during 0 calls. 0 microseconds was the maximum time for a single instance of a correctable ddr.""]",0,low,0,
instruction cache parity error corrected,42,2.1,"[""instruction cache parity error corrected"", ""instruction cache parity error corrected"", ""instruction cache parity error corrected""]",2,low,2,
"idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=<*> Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)",35,1.7500000000000002,"[""idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)"", ""idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)"", ""idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)""]",0,low,2,
ciod: generated <*> core files for program <*>,30,1.5,"[""ciod: generated 64 core files for program /bgl/apps/swl-prep/ibm-swl/functional/sppm_chkpt/run/sppm"", ""ciod: generated 64 core files for program /bgl/apps/swl-prep/ibm-swl/functional/sppm_chkpt/run/sppm"", ""ciod: generated 64 core files for program /bgl/apps/swl-prep/ibm-swl/functional/sppm_chkpt/run/sppm""]",0,low,0,
data storage interrupt,30,1.5,"[""data storage interrupt"", ""data storage interrupt"", ""data storage interrupt""]",0,low,0,
instruction address: <*>,21,1.05,"[""instruction address: 0x00004ed8"", ""instruction address: 0x00004ed8"", ""instruction address: 0x00004ed8""]",0,low,0,
"ciod: Error loading <*>: invalid or missing program image, No such file or directory",21,1.05,"[""ciod: Error loading /home/draeger/testQboxhang-nozerobytebug-nosleepyescomm: invalid or missing program image, No such file or directory"", ""ciod: Error loading ./runtime_malloc: invalid or missing program image, No such file or directory"", ""ciod: Error loading /home/glosli/src/ddcMD/ddcMD/1.1.13/ddcMDbglV: invalid or missing program image, No such file or directory""]",1,high,1,Auto-labeled (high confidence)
"ciod: Error loading /<*>: invalid or missing program image, Permission denied",19,0.95,"[""ciod: Error loading /home/spelce1/HPCC_IBM/Urgent/Gunnels/VNM64/vnm.rts: invalid or missing program image, Permission denied"", ""ciod: Error loading /home/spelce1/HPCC_IBM/Urgent/VNM/64K/vnm.rts: invalid or missing program image, Permission denied"", ""ciod: Error loading /home/spelce1/HPCC_IBM/Urgent/COP/64K/vnm.rts: invalid or missing program image, Permission denied""]",1,medium,1,
