template,count,percentage,samples,suggested,confidence,label,notes
BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,314,15.7,"[""BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.73.220:50010 is added to blk_7128370237687728475 size 67108864"", ""BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.43.115:50010 is added to blk_3050920587428079149 size 67108864"", ""BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.203.80:50010 is added to blk_7888946331804732825 size 67108864""]",0,low,0,
PacketResponder <*> for block blk_<*> terminating,311,15.55,"[""PacketResponder 1 for block blk_38865049064139660 terminating"", ""PacketResponder 0 for block blk_-6952295868487656571 terminating"", ""PacketResponder 2 for block blk_8229193803249955061 terminating""]",0,low,0,
Received block blk_<*> of size <*> from /<*>,292,14.6,"[""Received block blk_3587508140051953248 of size 67108864 from /10.251.42.84"", ""Received block blk_5402003568334525940 of size 67108864 from /10.251.214.112"", ""Received block blk_9212264480425680329 of size 67108864 from /10.251.123.1""]",0,low,0,
Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,292,14.6,"[""Receiving block blk_5792489080791696128 src: /10.251.30.6:33145 dest: /10.251.30.6:50010"", ""Receiving block blk_1724757848743533110 src: /10.251.111.130:49851 dest: /10.251.111.130:50010"", ""Receiving block blk_-5623176793330377570 src: /10.251.75.228:53725 dest: /10.251.75.228:50010""]",0,low,0,
Deleting block blk_<*> file /<*>/blk_<*>,263,13.15,"[""Deleting block blk_1781953582842324563 file /mnt/hadoop/dfs/data/current/subdir5/blk_1781953582842324563"", ""Deleting block blk_8483848473254499625 file /mnt/hadoop/dfs/data/current/subdir51/blk_8483848473254499625"", ""Deleting block blk_-8898274302731129139 file /mnt/hadoop/dfs/data/current/subdir18/blk_-8898274302731129139""]",4,low,0,
BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>:<*>,224,11.200000000000001,"[""BLOCK* NameSystem.delete: blk_2568309208894455676 is added to invalidSet of 10.251.31.160:50010"", ""BLOCK* NameSystem.delete: blk_-1233005817943453613 is added to invalidSet of 10.251.75.49:50010"", ""BLOCK* NameSystem.delete: blk_-8736461628840265232 is added to invalidSet of 10.251.195.70:50010""]",0,low,0,
BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>,115,5.75,"[""BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000590_0/part-00590. blk_-1727475099218615100"", ""BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000742_0/part-00742. blk_-7878121102358435702"", ""BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000487_0/part-00487. blk_-5319073033164653435""]",1,medium,0,
<*>:<*> Served block blk_<*> to /<*>,80,4.0,"[""10.251.194.213:50010 Served block blk_-7724713468912166542 to /10.251.203.80"", ""10.251.91.229:50010 Served block blk_-3358448553918665902 to /10.251.91.229"", ""10.251.39.192:50010 Served block blk_-5341992729755584578 to /10.251.39.192""]",2,low,0,
<*>:<*>:Got exception while serving blk_<*> to /<*>:,80,4.0,"[""10.251.30.85:50010:Got exception while serving blk_-2918118818249673980 to /10.251.90.64:"", ""10.251.126.255:50010:Got exception while serving blk_8376667364205250596 to /10.251.91.159:"", ""10.251.123.132:50010:Got exception while serving blk_3763728533434719668 to /10.251.38.214:""]",4,medium,2,
Verification succeeded for blk_<*>,20,1.0,"[""Verification succeeded for blk_-4980916519894289629"", ""Verification succeeded for blk_-2827716238972737794"", ""Verification succeeded for blk_-1547954353065580372""]",0,low,0,
