template,count,percentage,samples,suggested,confidence,label,notes
Linkerror event interval expired,394,19.7,"[""Linkerror event interval expired"", ""Linkerror event interval expired"", ""Linkerror event interval expired""]",1,high,1,Auto-labeled (high confidence)
ambient=<*>,292,14.6,"[""ambient=30"", ""ambient=30"", ""ambient=31""]",0,high,0,Auto-labeled (high confidence)
normal,206,10.299999999999999,"[""normal"", ""normal"", ""normal""]",1,high,1,Auto-labeled (high confidence)
warning,205,10.25,"[""warning"", ""warning"", ""warning""]",1,high,1,Auto-labeled (high confidence)
running,162,8.1,"[""running"", ""running"", ""running""]",0,high,0,Auto-labeled (high confidence)
configured out,91,4.55,"[""configured out"", ""configured out"", ""configured out""]",0,high,0,Auto-labeled (high confidence)
Fan speeds ( <*> <*> <*> **** <*> <*> ),79,3.95,"[""Fan speeds ( 3552 3534 3375 **** 3515 3479 )"", ""Fan speeds ( 3552 3534 3375 **** 3515 3479 )"", ""Fan speeds ( 3552 3534 3375 **** 3515 3479 )""]",0,high,0,Auto-labeled (high confidence)
boot  (command <*>),67,3.35,"[""boot  (command 1911)"", ""boot  (command 1910)"", ""boot  (command 1978)""]",0,high,0,Auto-labeled (high confidence)
wait  (command <*>),66,3.3000000000000003,"[""wait  (command 1975)"", ""wait  (command 1973)"", ""wait  (command 2057)""]",0,high,0,Auto-labeled (high confidence)
not responding,60,3.0,"[""not responding"", ""not responding"", ""not responding""]",6,high,6,Auto-labeled (high confidence)
link errors remain current,56,2.8000000000000003,"[""link errors remain current"", ""link errors remain current"", ""link errors remain current""]",0,high,0,Auto-labeled (high confidence)
NIFF: node node-<*> has detected an available network connection on network <*> via interface ee0,45,2.25,"[""NIFF: node node-129 has detected an available network connection on network 10.128.0.0 via interface ee0"", ""NIFF: node node-24 has detected an available network connection on network 10.128.0.0 via interface ee0"", ""NIFF: node node-232 has detected an available network connection on network 10.128.0.0 via interface ee0""]",0,high,0,Auto-labeled (high confidence)
NIFF: node node-<*> has detected an available network connection on network <*> via interface alt0,44,2.1999999999999997,"[""NIFF: node node-148 has detected an available network connection on network 5.5.226.0 via interface alt0"", ""NIFF: node node-26 has detected an available network connection on network 5.5.226.0 via interface alt0"", ""NIFF: node node-120 has detected an available network connection on network 5.5.226.0 via interface alt0""]",0,high,0,Auto-labeled (high confidence)
ClusterFileSystem: ServerFileSystem domain <*> is no longer served by node node-<*>,36,1.7999999999999998,"[""ClusterFileSystem: ServerFileSystem domain cluster_root_backup is no longer served by node node-96"", ""ClusterFileSystem: ServerFileSystem domain root_domain is no longer served by node node-160"", ""ClusterFileSystem: ServerFileSystem domain root3_domain is no longer served by node node-128""]",0,high,0,Auto-labeled (high confidence)
ClusterFileSystem: There is no server for ServerFileSystem domain storage<*>,32,1.6,"[""ClusterFileSystem: There is no server for ServerFileSystem domain storage234"", ""ClusterFileSystem: There is no server for ServerFileSystem domain storage1412"", ""ClusterFileSystem: There is no server for ServerFileSystem domain storage1024""]",0,high,0,Auto-labeled (high confidence)
critical,20,1.0,"[""critical"", ""critical"", ""critical""]",0,high,0,Auto-labeled (high confidence)
blocked,15,0.75,"[""blocked"", ""blocked"", ""blocked""]",0,low,1,
Link ok,13,0.65,"[""Link ok"", ""Link ok"", ""Link ok""]",0,high,0,Auto-labeled (high confidence)
Link error,13,0.65,"[""Link error"", ""Link error"", ""Link error""]",0,high,0,Auto-labeled (high confidence)
