template,count,percentage,samples,suggested,confidence,label,notes
Address change detected. Old: <*>/<*>:<*> New: <*>:<*>,476,23.799999999999997,"[""Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000"", ""Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000"", ""Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000""]",0,high,0,Auto-labeled (high confidence)
Failed to renew lease for [DFSClient_NONMAPREDUCE_<*>_<*>] for <*> seconds.  Will retry shortly ...,326,16.3,"[""Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 30 seconds.  Will retry shortly ..."", ""Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 31 seconds.  Will retry shortly ..."", ""Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 32 seconds.  Will retry shortly ...""]",1,high,1,Auto-labeled (high confidence)
Progress of TaskAttempt attempt_<*> is : <*>.<*>,289,14.45,"[""Progress of TaskAttempt attempt_1445144423722_0020_m_000000_0 is : 0.023958297"", ""Progress of TaskAttempt attempt_1445144423722_0020_m_000000_0 is : 0.065791264"", ""Progress of TaskAttempt attempt_1445144423722_0020_m_000001_0 is : 0.05713628""]",1,high,1,Auto-labeled (high confidence)
ERROR IN CONTACTING RM.,147,7.35,"[""ERROR IN CONTACTING RM."", ""ERROR IN CONTACTING RM."", ""ERROR IN CONTACTING RM.""]",1,medium,4,
"Retrying connect to server: <*>:<*>. Already tried <*> time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=<*>, sleepTime=<*> MILLISECONDS)",146,7.3,"[""Retrying connect to server: msra-sa-41:8030. Already tried 0 time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=10, sleepTime=1000 MILLISECONDS)"", ""Retrying connect to server: msra-sa-41:8030. Already tried 0 time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=10, sleepTime=1000 MILLISECONDS)"", ""Retrying connect to server: msra-sa-41:8030. Already tried 0 time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=10, sleepTime=1000 MILLISECONDS)""]",1,high,4,Auto-labeled (high confidence)
"Recalculating schedule, headroom=<memory:<*>, vCores:<*>>",131,6.550000000000001,"[""Recalculating schedule, headroom=<memory:10240, vCores:-17>"", ""Recalculating schedule, headroom=<memory:10240, vCores:-17>"", ""Recalculating schedule, headroom=<memory:8192, vCores:-19>""]",0,high,3,Auto-labeled (high confidence)
Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,130,6.5,"[""Reduce slow start threshold not met. completedMapsForReduceSlowstart 1"", ""Reduce slow start threshold not met. completedMapsForReduceSlowstart 1"", ""Reduce slow start threshold not met. completedMapsForReduceSlowstart 1""]",0,high,3,Auto-labeled (high confidence)
Resolved <*> to /default-rack,39,1.95,"[""Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack"", ""Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack"", ""Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack""]",1,high,0,Auto-labeled (high confidence)
attempt_<*> TaskAttempt Transitioned from NEW to UNASSIGNED,14,0.7000000000000001,"[""attempt_1445144423722_0020_m_000000_0 TaskAttempt Transitioned from NEW to UNASSIGNED"", ""attempt_1445144423722_0020_m_000001_0 TaskAttempt Transitioned from NEW to UNASSIGNED"", ""attempt_1445144423722_0020_m_000002_0 TaskAttempt Transitioned from NEW to UNASSIGNED""]",0,high,0,Auto-labeled (high confidence)
Processing the event EventType: CONTAINER_REMOTE_<*> for container container_<*> taskAttempt attempt_<*>,13,0.65,"[""Processing the event EventType: CONTAINER_REMOTE_LAUNCH for container container_1445144423722_0020_01_000002 taskAttempt attempt_1445144423722_0020_m_000000_0"", ""Processing the event EventType: CONTAINER_REMOTE_LAUNCH for container container_1445144423722_0020_01_000003 taskAttempt attempt_1445144423722_0020_m_000001_0"", ""Processing the event EventType: CONTAINER_REMOTE_LAUNCH for container container_1445144423722_0020_01_000004 taskAttempt attempt_1445144423722_0020_m_000002_0""]",1,high,0,Auto-labeled (high confidence)
Opening proxy : <*>:<*>,13,0.65,"[""Opening proxy : 04DN8IQ.fareast.corp.microsoft.com:54883"", ""Opening proxy : MININT-FNANLI5.fareast.corp.microsoft.com:52368"", ""Opening proxy : MININT-FNANLI5.fareast.corp.microsoft.com:52368""]",1,high,0,Auto-labeled (high confidence)
After Scheduling: PendingReds:<*> ScheduledMaps:<*> ScheduledReds:<*> AssignedMaps:<*> AssignedReds:<*> CompletedMaps:<*> CompletedReds:0 ContAlloc:<*> ContRel:<*> HostLocal:<*> RackLocal:<*>,12,0.6,"[""After Scheduling: PendingReds:1 ScheduledMaps:9 ScheduledReds:0 AssignedMaps:1 AssignedReds:0 CompletedMaps:0 CompletedReds:0 ContAlloc:1 ContRel:0 HostLocal:0 RackLocal:1"", ""After Scheduling: PendingReds:1 ScheduledMaps:8 ScheduledReds:0 AssignedMaps:2 AssignedReds:0 CompletedMaps:0 CompletedReds:0 ContAlloc:2 ContRel:0 HostLocal:0 RackLocal:2"", ""After Scheduling: PendingReds:1 ScheduledMaps:7 ScheduledReds:0 AssignedMaps:3 AssignedReds:0 CompletedMaps:0 CompletedReds:0 ContAlloc:3 ContRel:0 HostLocal:0 RackLocal:3""]",1,high,0,Auto-labeled (high confidence)
"getResources() for application_<*>: ask=<*> release= <*> newContainers=<*> finishedContainers=<*> resourcelimit=<memory:<*>, vCores:<*>> knownNMs=<*>",12,0.6,"[""getResources() for application_1445144423722_0020: ask=4 release= 0 newContainers=0 finishedContainers=0 resourcelimit=<memory:10240, vCores:-17> knownNMs=4"", ""getResources() for application_1445144423722_0020: ask=4 release= 0 newContainers=0 finishedContainers=0 resourcelimit=<memory:7168, vCores:-20> knownNMs=4"", ""getResources() for application_1445144423722_0020: ask=4 release= 0 newContainers=0 finishedContainers=0 resourcelimit=<memory:4096, vCores:-23> knownNMs=4""]",0,high,0,Auto-labeled (high confidence)
task_<*> Task Transitioned from NEW to SCHEDULED,11,0.5499999999999999,"[""task_1445144423722_0020_m_000000 Task Transitioned from NEW to SCHEDULED"", ""task_1445144423722_0020_m_000001 Task Transitioned from NEW to SCHEDULED"", ""task_1445144423722_0020_m_000002 Task Transitioned from NEW to SCHEDULED""]",0,high,0,Auto-labeled (high confidence)
Shuffle port returned by ContainerManager for attempt_<*> : <*>,10,0.5,"[""Shuffle port returned by ContainerManager for attempt_1445144423722_0020_m_000000_0 : 13562"", ""Shuffle port returned by ContainerManager for attempt_1445144423722_0020_m_000001_0 : 13562"", ""Shuffle port returned by ContainerManager for attempt_1445144423722_0020_m_000002_0 : 13562""]",1,high,1,Auto-labeled (high confidence)
TaskAttempt: [attempt_<*>] using containerId: [container_<*>_<*>_<*>_<*> on NM: [<*>:<*>],10,0.5,"[""TaskAttempt: [attempt_1445144423722_0020_m_000000_0] using containerId: [container_1445144423722_0020_01_000002 on NM: [04DN8IQ.fareast.corp.microsoft.com:54883]"", ""TaskAttempt: [attempt_1445144423722_0020_m_000001_0] using containerId: [container_1445144423722_0020_01_000003 on NM: [MININT-FNANLI5.fareast.corp.microsoft.com:52368]"", ""TaskAttempt: [attempt_1445144423722_0020_m_000002_0] using containerId: [container_1445144423722_0020_01_000004 on NM: [MININT-FNANLI5.fareast.corp.microsoft.com:52368]""]",1,high,1,Auto-labeled (high confidence)
attempt_<*> TaskAttempt Transitioned from ASSIGNED to RUNNING,10,0.5,"[""attempt_1445144423722_0020_m_000000_0 TaskAttempt Transitioned from ASSIGNED to RUNNING"", ""attempt_1445144423722_0020_m_000001_0 TaskAttempt Transitioned from ASSIGNED to RUNNING"", ""attempt_1445144423722_0020_m_000002_0 TaskAttempt Transitioned from ASSIGNED to RUNNING""]",0,high,0,Auto-labeled (high confidence)
Launching attempt_<*>,10,0.5,"[""Launching attempt_1445144423722_0020_m_000000_0"", ""Launching attempt_1445144423722_0020_m_000001_0"", ""Launching attempt_1445144423722_0020_m_000002_0""]",1,high,1,Auto-labeled (high confidence)
ATTEMPT_START task_<*>,10,0.5,"[""ATTEMPT_START task_1445144423722_0020_m_000000"", ""ATTEMPT_START task_1445144423722_0020_m_000001"", ""ATTEMPT_START task_1445144423722_0020_m_000002""]",0,high,0,Auto-labeled (high confidence)
Assigned container container_<*> to attempt_<*>,10,0.5,"[""Assigned container container_1445144423722_0020_01_000002 to attempt_1445144423722_0020_m_000000_0"", ""Assigned container container_1445144423722_0020_01_000003 to attempt_1445144423722_0020_m_000001_0"", ""Assigned container container_1445144423722_0020_01_000004 to attempt_1445144423722_0020_m_000002_0""]",1,high,1,Auto-labeled (high confidence)
Got allocated containers <*>,10,0.5,"[""Got allocated containers 1"", ""Got allocated containers 1"", ""Got allocated containers 1""]",0,high,0,Auto-labeled (high confidence)
attempt_<*> TaskAttempt Transitioned from UNASSIGNED to ASSIGNED,10,0.5,"[""attempt_1445144423722_0020_m_000000_0 TaskAttempt Transitioned from UNASSIGNED to ASSIGNED"", ""attempt_1445144423722_0020_m_000001_0 TaskAttempt Transitioned from UNASSIGNED to ASSIGNED"", ""attempt_1445144423722_0020_m_000002_0 TaskAttempt Transitioned from UNASSIGNED to ASSIGNED""]",1,high,1,Auto-labeled (high confidence)
Auth successful for job_<*> (auth:SIMPLE),10,0.5,"[""Auth successful for job_1445144423722_0020 (auth:SIMPLE)"", ""Auth successful for job_1445144423722_0020 (auth:SIMPLE)"", ""Auth successful for job_1445144423722_0020 (auth:SIMPLE)""]",1,high,1,Auto-labeled (high confidence)
JVM with ID : jvm_<*> asked for a task,10,0.5,"[""JVM with ID : jvm_1445144423722_0020_m_000002 asked for a task"", ""JVM with ID : jvm_1445144423722_0020_m_000003 asked for a task"", ""JVM with ID : jvm_1445144423722_0020_m_000004 asked for a task""]",0,high,0,Auto-labeled (high confidence)
