template,count,percentage,samples,suggested,confidence,label,notes
onExtend:<*> <*> <*> <*>,273,13.65,"[""onExtend:1514038530000 14 0 4"", ""onExtend:1514038530000 0 0 4"", ""onExtend:1514038530000 1 0 4""]",0,high,0,Auto-labeled (high confidence)
onStandStepChanged <*>,260,13.0,"[""onStandStepChanged 3579"", ""onStandStepChanged 3579"", ""onStandStepChanged 3579""]",0,high,0,Auto-labeled (high confidence)
getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>,242,12.1,"["" getTodayTotalDetailSteps = 1514038440000##6993##548365##8661##12266##27164404"", "" getTodayTotalDetailSteps = 1514038440000##7007##548365##8661##12361##27173954"", "" getTodayTotalDetailSteps = 1514038440000##7008##548365##8661##12456##27174269""]",0,high,0,Auto-labeled (high confidence)
calculateAltitudeWithCache totalAltitude=<*>,241,12.049999999999999,"[""calculateAltitudeWithCache totalAltitude=240"", ""calculateAltitudeWithCache totalAltitude=240"", ""calculateAltitudeWithCache totalAltitude=240""]",0,high,0,Auto-labeled (high confidence)
setTodayTotalDetailSteps=<*>,241,12.049999999999999,"[""setTodayTotalDetailSteps=1514038440000##7007##548365##8661##12361##27173954"", ""setTodayTotalDetailSteps=1514038440000##7008##548365##8661##12456##27174269"", ""setTodayTotalDetailSteps=1514038440000##7009##548365##8661##12551##27174951""]",0,high,0,Auto-labeled (high confidence)
calculateCaloriesWithCache totalCalories=<*>,241,12.049999999999999,"[""calculateCaloriesWithCache totalCalories=126775"", ""calculateCaloriesWithCache totalCalories=126797"", ""calculateCaloriesWithCache totalCalories=126818""]",0,high,0,Auto-labeled (high confidence)
processHandleBroadcastAction action:android.intent.action.TIME_TICK,144,7.199999999999999,"[""processHandleBroadcastAction action:android.intent.action.TIME_TICK"", ""processHandleBroadcastAction action:android.intent.action.TIME_TICK"", ""processHandleBroadcastAction action:android.intent.action.TIME_TICK""]",0,high,0,Auto-labeled (high confidence)
REPORT : <*> <*> <*> <*>,136,6.800000000000001,"[""REPORT : 7007 5002 150089 240"", ""REPORT : 7008 5003 150111 240"", ""REPORT : 7009 5004 150132 240""]",0,high,0,Auto-labeled (high confidence)
onReceive action: android.intent.action.SCREEN_ON,17,0.8500000000000001,"[""onReceive action: android.intent.action.SCREEN_ON"", ""onReceive action: android.intent.action.SCREEN_ON"", ""onReceive action: android.intent.action.SCREEN_ON""]",0,high,0,Auto-labeled (high confidence)
processHandleBroadcastAction action:android.intent.action.SCREEN_ON,17,0.8500000000000001,"[""processHandleBroadcastAction action:android.intent.action.SCREEN_ON"", ""processHandleBroadcastAction action:android.intent.action.SCREEN_ON"", ""processHandleBroadcastAction action:android.intent.action.SCREEN_ON""]",0,high,0,Auto-labeled (high confidence)
