LineId,Month,Date,Time,Level,Component,PID,Content,EventId,EventTemplate,AnomalyLabel,AnomalyLabelName,Source
1,Jun,14,15:16:01,combo,sshd(pam_unix),19939.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>,1,security_anomaly,Linux_2k
2,Jun,14,15:16:02,combo,sshd(pam_unix),19937.0,check pass; user unknown,E27,check pass; user unknown,1,security_anomaly,Linux_2k
3,Jun,14,15:16:02,combo,sshd(pam_unix),19937.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>,1,security_anomaly,Linux_2k
4,Jun,15,02:04:59,combo,sshd(pam_unix),20882.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E18,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>  user=root,1,security_anomaly,Linux_2k
5,Jun,15,02:04:59,combo,sshd(pam_unix),20884.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E18,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>  user=root,1,security_anomaly,Linux_2k
6,Jun,15,02:04:59,combo,sshd(pam_unix),20883.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E18,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>  user=root,1,security_anomaly,Linux_2k
7,Jun,15,02:04:59,combo,sshd(pam_unix),20885.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E18,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>  user=root,1,security_anomaly,Linux_2k
8,Jun,15,02:04:59,combo,sshd(pam_unix),20886.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E18,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>  user=root,1,security_anomaly,Linux_2k
9,Jun,15,02:04:59,combo,sshd(pam_unix),20892.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E18,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>  user=root,1,security_anomaly,Linux_2k
10,Jun,15,02:04:59,combo,sshd(pam_unix),20893.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E18,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>  user=root,1,security_anomaly,Linux_2k
11,Jun,15,02:04:59,combo,sshd(pam_unix),20896.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E18,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>  user=root,1,security_anomaly,Linux_2k
12,Jun,15,02:04:59,combo,sshd(pam_unix),20897.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E18,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>  user=root,1,security_anomaly,Linux_2k
13,Jun,15,02:04:59,combo,sshd(pam_unix),20898.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E18,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>  user=root,1,security_anomaly,Linux_2k
14,Jun,15,04:06:18,combo,su(pam_unix),21416.0,session opened for user cyrus by (uid=0),E102,session opened for user <*> by (uid=<*>),1,security_anomaly,Linux_2k
15,Jun,15,04:06:19,combo,su(pam_unix),21416.0,session closed for user cyrus,E101,session closed for user <*>,1,security_anomaly,Linux_2k
16,Jun,15,04:06:20,combo,logrotate,,ALERT exited abnormally with [1],E8,ALERT exited abnormally with [1],1,security_anomaly,Linux_2k
17,Jun,15,04:12:42,combo,su(pam_unix),22644.0,session opened for user news by (uid=0),E102,session opened for user <*> by (uid=<*>),1,security_anomaly,Linux_2k
18,Jun,15,04:12:43,combo,su(pam_unix),22644.0,session closed for user news,E101,session closed for user <*>,1,security_anomaly,Linux_2k
19,Jun,15,12:12:34,combo,sshd(pam_unix),23397.0,check pass; user unknown,E27,check pass; user unknown,1,security_anomaly,Linux_2k
20,Jun,15,12:12:34,combo,sshd(pam_unix),23397.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>,1,security_anomaly,Linux_2k
21,Jun,15,12:12:34,combo,sshd(pam_unix),23395.0,check pass; user unknown,E27,check pass; user unknown,1,security_anomaly,Linux_2k
22,Jun,15,12:12:34,combo,sshd(pam_unix),23395.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>,1,security_anomaly,Linux_2k
23,Jun,15,12:12:34,combo,sshd(pam_unix),23404.0,check pass; user unknown,E27,check pass; user unknown,1,security_anomaly,Linux_2k
24,Jun,15,12:12:34,combo,sshd(pam_unix),23404.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>,1,security_anomaly,Linux_2k
25,Jun,15,12:12:34,combo,sshd(pam_unix),23399.0,check pass; user unknown,E27,check pass; user unknown,1,security_anomaly,Linux_2k
26,Jun,15,12:12:34,combo,sshd(pam_unix),23399.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>,1,security_anomaly,Linux_2k
27,Jun,15,12:12:34,combo,sshd(pam_unix),23406.0,check pass; user unknown,E27,check pass; user unknown,1,security_anomaly,Linux_2k
28,Jun,15,12:12:34,combo,sshd(pam_unix),23406.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>,1,security_anomaly,Linux_2k
29,Jun,15,12:12:34,combo,sshd(pam_unix),23396.0,check pass; user unknown,E27,check pass; user unknown,1,security_anomaly,Linux_2k
30,Jun,15,12:12:34,combo,sshd(pam_unix),23394.0,check pass; user unknown,E27,check pass; user unknown,1,security_anomaly,Linux_2k
31,Jun,15,12:12:34,combo,sshd(pam_unix),23407.0,check pass; user unknown,E27,check pass; user unknown,1,security_anomaly,Linux_2k
32,Jun,15,12:12:34,combo,sshd(pam_unix),23394.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>,1,security_anomaly,Linux_2k
