template,count,percentage,samples,suggested,confidence,label,notes
connection from <*> (<*>) at <*>:<*>:<*>,909,45.45,"[""connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005"", ""connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005"", ""connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005""]",4,low,0.0,
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>  user=root,351,17.549999999999997,"[""authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root"", ""authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root"", ""authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root""]",6,low,1.0,
session closed for user <*>,123,6.15,"[""session closed for user cyrus"", ""session closed for user news"", ""session closed for user cyrus""]",0,medium,0.0,
session opened for user <*> by (uid=<*>),122,6.1,"[""session opened for user cyrus by (uid=0)"", ""session opened for user news by (uid=0)"", ""session opened for user cyrus by (uid=0)""]",0,medium,0.0,
check pass; user unknown,117,5.8500000000000005,"[""check pass; user unknown"", ""check pass; user unknown"", ""check pass; user unknown""]",0,low,1.0,
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>,117,5.8500000000000005,"[""authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4"", ""authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4"", ""authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4""]",6,low,1.0,
ALERT exited abnormally with [1],43,2.15,"[""ALERT exited abnormally with [1]"", ""ALERT exited abnormally with [1]"", ""ALERT exited abnormally with [1]""]",0,low,2.0,
Kerberos authentication failed,23,1.15,"[""Kerberos authentication failed"", ""Kerberos authentication failed"", ""Kerberos authentication failed""]",4,low,1.0,
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>  user=guest,17,0.8500000000000001,"[""authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211.46.224.253  user=guest"", ""authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=217.60.212.66  user=guest"", ""authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=217.60.212.66  user=guest""]",6,low,1.0,
notify question section contains no SOA,16,0.8,"[""notify question section contains no SOA"", ""notify question section contains no SOA"", ""notify question section contains no SOA""]",0,low,4.0,
Authentication failed from <*> (<*>): Software caused connection abort,15,0.75,"[""Authentication failed from 163.27.187.39 (163.27.187.39): Software caused connection abort"", ""Authentication failed from 163.27.187.39 (163.27.187.39): Software caused connection abort"", ""Authentication failed from 163.27.187.39 (163.27.187.39): Software caused connection abort""]",4,high,4.0,Auto-labeled (high confidence)
Authentication failed from <*> (<*>): Permission denied in replay cache code,8,0.4,"[""Authentication failed from 163.27.187.39 (163.27.187.39): Permission denied in replay cache code"", ""Authentication failed from 163.27.187.39 (163.27.187.39): Permission denied in replay cache code"", ""Authentication failed from 163.27.187.39 (163.27.187.39): Permission denied in replay cache code""]",4,medium,4.0,
restart.,7,0.35000000000000003,"[""restart."", ""restart."", ""restart.""]",0,low,0.0,
cupsd startup succeeded,6,0.3,"[""cupsd startup succeeded"", ""cupsd startup succeeded"", ""cupsd startup succeeded""]",0,low,0.0,
cupsd shutdown succeeded,6,0.3,"[""cupsd shutdown succeeded"", ""cupsd shutdown succeeded"", ""cupsd shutdown succeeded""]",4,low,4.0,
removing device node '/udev/<*>',4,0.2,"[""removing device node '/udev/vcsa2'"", ""removing device node '/udev/vcs2'"", ""removing device node '/udev/vcs2'""]",0,low,0.0,
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>  user=test,4,0.2,"[""authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=212.0.132.20  user=test"", ""authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=212.0.132.20  user=test"", ""authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=212.0.132.20  user=test""]",6,low,6.0,
creating device node '/udev/<*>',4,0.2,"[""creating device node '/udev/vcs2'"", ""creating device node '/udev/vcsa2'"", ""creating device node '/udev/vcs2'""]",0,low,0.0,
getpeername (ftpd): Transport endpoint is not connected,4,0.2,"[""getpeername (ftpd): Transport endpoint is not connected"", ""getpeername (ftpd): Transport endpoint is not connected"", ""getpeername (ftpd): Transport endpoint is not connected""]",0,low,4.0,
BIOS-e820: <*> - <*> (reserved),3,0.15,"[""BIOS-e820: 00000000000f0000 - 0000000000100000 (reserved)"", ""BIOS-e820: 0000000007eae000 - 0000000008000000 (reserved)"", ""BIOS-e820: 00000000ffb00000 - 0000000100000000 (reserved)""]",0,low,0.0,
"ANONYMOUS FTP LOGIN FROM <*>,  (anonymous)",2,0.1,"[""ANONYMOUS FTP LOGIN FROM 84.102.20.2,  (anonymous)"", ""ANONYMOUS FTP LOGIN FROM 84.102.20.2,  (anonymous)""]",0,low,0.0,
warning: can't get client address: Connection reset by peer,2,0.1,"[""warning: can't get client address: Connection reset by peer"", ""warning: can't get client address: Connection reset by peer""]",4,high,4.0,Auto-labeled (high confidence)
BIOS-e820: <*> - <*> (usable),2,0.1,"[""BIOS-e820: 0000000000000000 - 00000000000a0000 (usable)"", ""BIOS-e820: 0000000000100000 - 0000000007eae000 (usable)""]",0,low,0.0,
ROOT LOGIN ON tty2,1,0.05,"[""ROOT LOGIN ON tty2""]",0,low,0.0,
session opened for user <*> by LOGIN(uid=<*>),1,0.05,"[""session opened for user root by LOGIN(uid=0)""]",0,medium,0.0,
imps2: Auto-detected intellimouse PS/<*>,1,0.05,"[""imps2: Auto-detected intellimouse PS/2""]",0,low,0.0,
User unknown timed out after <*> seconds at <*>:<*>:<*> <*>,1,0.05,"[""User unknown timed out after 900 seconds at Sat Jun 18 02:23:10 2005""]",0,medium,1.0,
