template,count,percentage,samples,suggested,confidence,label,notes
"com.apple.<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds.  Ignoring.",166,8.3,"[""com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 439034 seconds.  Ignoring."", ""com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 2450 seconds.  Ignoring."", ""com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 438666 seconds.  Ignoring.""]",0,high,0,Auto-labeled (high confidence)
Cocoa scripting error for '<*>': four character codes must be four characters long.,71,3.55,"[""Cocoa scripting error for '0x00660011': four character codes must be four characters long."", ""Cocoa scripting error for '0x0067000f': four character codes must be four characters long."", ""Cocoa scripting error for '0x00670033': four character codes must be four characters long.""]",0,high,0,Auto-labeled (high confidence)
AppleCamIn::systemWakeCall - messageType = <*>,56,2.8000000000000003,"[""AppleCamIn::systemWakeCall - messageType = 0xE0000340"", ""AppleCamIn::systemWakeCall - messageType = 0xE0000340"", ""AppleCamIn::systemWakeCall - messageType = 0xE0000340""]",0,high,0,Auto-labeled (high confidence)
dnssd_clientstub ConnectToServer: connect()-> No of tries: <*>,44,2.1999999999999997,"[""dnssd_clientstub ConnectToServer: connect()-> No of tries: 1"", ""dnssd_clientstub ConnectToServer: connect()-> No of tries: 1"", ""dnssd_clientstub ConnectToServer: connect()-> No of tries: 1""]",4,high,4,Auto-labeled (high confidence)
Thermal pressure state: <*> Memory pressure state: <*>,39,1.95,"[""Thermal pressure state: 1 Memory pressure state: 0"", ""Thermal pressure state: 1 Memory pressure state: 0"", ""Thermal pressure state: 0 Memory pressure state: 0""]",0,high,0,Auto-labeled (high confidence)
IOThunderboltSwitch<<*>>(<*>)::listenerCallback - Thunderbolt HPD packet for route = <*> port = <*> unplug = <*>,36,1.7999999999999998,"[""IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = 11 unplug = 0"", ""IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = 11 unplug = 0"", ""IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = 11 unplug = 0""]",0,medium,0,
"CCFile::captureLogRun Skipping current file Dir file [<*>-<*>-<*>_<*>,<*>,<*>.<*>]-<*>, Current File [<*>-<*>-<*>_<*>,<*>,<*>.<*>]-<*>",31,1.55,"[""CCFile::captureLogRun Skipping current file Dir file [2017-07-03_13,48,39.362458]-CCIOReporter-002.xml, Current File [2017-07-03_13,48,39.362458]-CCIOReporter-002.xml"", ""CCFile::captureLogRun Skipping current file Dir file [2017-07-03_16,05,51.031703]-AirPortBrcm4360_Logs-003.txt, Current File [2017-07-03_16,05,51.031703]-AirPortBrcm4360_Logs-003.txt"", ""CCFile::captureLogRun Skipping current file Dir file [2017-07-03_16,05,51.075268]-AirPortBrcm4360_Logs-005.txt, Current File [2017-07-03_16,05,51.075268]-AirPortBrcm4360_Logs-005.txt""]",0,high,0,Auto-labeled (high confidence)
Sandbox: <*>(<*>) deny(<*>) network-outbound /private/var/run/mDNSResponder,29,1.4500000000000002,"[""Sandbox: com.apple.Addres(31229) deny(1) network-outbound /private/var/run/mDNSResponder"", ""Sandbox: com.apple.Addres(31328) deny(1) network-outbound /private/var/run/mDNSResponder"", ""Sandbox: com.apple.Addres(31328) deny(1) network-outbound /private/var/run/mDNSResponder""]",0,high,1,Auto-labeled (high confidence)
<*>(<*>) deny network-outbound /private/var/run/mDNSResponder,29,1.4500000000000002,"[""com.apple.Addres(31211) deny network-outbound /private/var/run/mDNSResponder"", ""com.apple.Addres(31376) deny network-outbound /private/var/run/mDNSResponder"", ""com.apple.Addres(31382) deny network-outbound /private/var/run/mDNSResponder""]",0,high,1,Auto-labeled (high confidence)
ARPT: <*>.<*>: wl0: MDNS: IPV6 Addr: <*>,28,1.4000000000000001,"[""ARPT: 621241.634070: wl0: MDNS: IPV6 Addr: 2607:f140:6000:8:c6b3:1ff:fecd:467f"", ""ARPT: 621389.379319: wl0: MDNS: IPV6 Addr: 2607:f140:6000:8:c6b3:1ff:fecd:467f"", ""ARPT: 627141.702095: wl0: MDNS: IPV6 Addr: 2607:f140:6000:8:c6b3:1ff:fecd:467f""]",0,high,0,Auto-labeled (high confidence)
