template,count,percentage,samples,suggested,confidence,label,notes
"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>",931,46.550000000000004,"[""10.11.10.1 \""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1\"" status: 200 len: 1893 time: 0.2477829"", ""10.11.10.1 \""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1\"" status: 200 len: 1893 time: 0.2577181"", ""10.11.10.1 \""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1\"" status: 200 len: 1893 time: 0.2731631""]",4,high,4,Auto-labeled (high confidence)
"image <*> at (<*>): in use: on this node <*> local, <*> on other nodes sharing this instance storage",82,4.1000000000000005,"[""image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at (/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742): in use: on this node 1 local, 0 on other nodes sharing this instance storage"", ""image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at (/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742): in use: on this node 1 local, 0 on other nodes sharing this instance storage"", ""image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at (/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742): in use: on this node 1 local, 0 on other nodes sharing this instance storage""]",0,high,0,Auto-labeled (high confidence)
image <*> at (<*>): checking,82,4.1000000000000005,"[""image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at (/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742): checking"", ""image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at (/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742): checking"", ""image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at (/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742): checking""]",0,high,0,Auto-labeled (high confidence)
Active base files: <*>,82,4.1000000000000005,"[""Active base files: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742"", ""Active base files: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742"", ""Active base files: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742""]",0,high,0,Auto-labeled (high confidence)
"<*> ""POST <*>"" status: <*> len: <*> time: <*>.<*>",64,3.2,"[""10.11.10.1 \""POST /v2/e9746973ac574c6b8a9e8857f56a7608/os-server-external-events HTTP/1.1\"" status: 200 len: 380 time: 0.0913219"", ""10.11.10.1 \""POST /v2/e9746973ac574c6b8a9e8857f56a7608/os-server-external-events HTTP/1.1\"" status: 404 len: 296 time: 0.0793190"", ""10.11.10.1 \""POST /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers HTTP/1.1\"" status: 202 len: 733 time: 0.6686139""]",4,high,4,Auto-labeled (high confidence)
[instance: <*>] VM Resumed (Lifecycle Event),44,2.1999999999999997,"[""[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] VM Resumed (Lifecycle Event)"", ""[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] VM Resumed (Lifecycle Event)"", ""[instance: 96abccce-8d1f-4e07-b6d1-4b2ab87e23b4] VM Resumed (Lifecycle Event)""]",0,low,0,
[instance: <*>] During sync_power_state the instance has a pending task (spawning). Skip.,43,2.15,"[""[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] During sync_power_state the instance has a pending task (spawning). Skip."", ""[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] During sync_power_state the instance has a pending task (spawning). Skip."", ""[instance: 96abccce-8d1f-4e07-b6d1-4b2ab87e23b4] During sync_power_state the instance has a pending task (spawning). Skip.""]",0,medium,0,
Removable base files: <*>,30,1.5,"[""Removable base files: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742"", ""Removable base files: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742"", ""Removable base files: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742""]",0,medium,0,
Unknown base file: <*>,30,1.5,"[""Unknown base file: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742"", ""Unknown base file: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742"", ""Unknown base file: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742""]",0,high,0,Auto-labeled (high confidence)
[instance: <*>] VM Paused (Lifecycle Event),22,1.0999999999999999,"[""[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] VM Paused (Lifecycle Event)"", ""[instance: 96abccce-8d1f-4e07-b6d1-4b2ab87e23b4] VM Paused (Lifecycle Event)"", ""[instance: b562ef10-ba2d-48ae-bf4a-18666cba4a51] VM Paused (Lifecycle Event)""]",0,low,0,
[instance: <*>] VM Started (Lifecycle Event),22,1.0999999999999999,"[""[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] VM Started (Lifecycle Event)"", ""[instance: 96abccce-8d1f-4e07-b6d1-4b2ab87e23b4] VM Started (Lifecycle Event)"", ""[instance: b562ef10-ba2d-48ae-bf4a-18666cba4a51] VM Started (Lifecycle Event)""]",0,medium,0,
[instance: <*>] Instance spawned successfully.,22,1.0999999999999999,"[""[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] Instance spawned successfully."", ""[instance: 96abccce-8d1f-4e07-b6d1-4b2ab87e23b4] Instance spawned successfully."", ""[instance: b562ef10-ba2d-48ae-bf4a-18666cba4a51] Instance spawned successfully.""]",0,low,0,
Creating event network-vif-plugged:<*>-<*>-<*>-<*>-<*> for instance <*>,22,1.0999999999999999,"[""Creating event network-vif-plugged:e3871ffd-5cd5-4287-bddd-3529f7b59515 for instance b9000564-fe1a-409b-b8cc-1e88b294cd1d"", ""Creating event network-vif-plugged:a208479c-c0e3-4730-a5a0-d75e8afd0252 for instance 96abccce-8d1f-4e07-b6d1-4b2ab87e23b4"", ""Creating event network-vif-plugged:d1ce4c5a-2811-41c3-8a5a-39f9e6defcb8 for instance b562ef10-ba2d-48ae-bf4a-18666cba4a51""]",0,high,0,Auto-labeled (high confidence)
[instance: <*>] Took <*>.<*> seconds to spawn the instance on the hypervisor.,22,1.0999999999999999,"[""[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] Took 19.05 seconds to spawn the instance on the hypervisor."", ""[instance: 96abccce-8d1f-4e07-b6d1-4b2ab87e23b4] Took 19.96 seconds to spawn the instance on the hypervisor."", ""[instance: b562ef10-ba2d-48ae-bf4a-18666cba4a51] Took 19.37 seconds to spawn the instance on the hypervisor.""]",4,low,3,
[instance: <*>] Took <*>.<*> seconds to build instance.,22,1.0999999999999999,"[""[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] Took 19.84 seconds to build instance."", ""[instance: 96abccce-8d1f-4e07-b6d1-4b2ab87e23b4] Took 20.71 seconds to build instance."", ""[instance: b562ef10-ba2d-48ae-bf4a-18666cba4a51] Took 20.14 seconds to build instance.""]",0,medium,3,
"<*> ""DELETE <*>"" status: <*> len: <*> time: <*>.<*>",22,1.0999999999999999,"[""10.11.10.1 \""DELETE /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/b9000564-fe1a-409b-b8cc-1e88b294cd1d HTTP/1.1\"" status: 204 len: 203 time: 0.2534380"", ""10.11.10.1 \""DELETE /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/96abccce-8d1f-4e07-b6d1-4b2ab87e23b4 HTTP/1.1\"" status: 204 len: 203 time: 0.2604880"", ""10.11.10.1 \""DELETE /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/b562ef10-ba2d-48ae-bf4a-18666cba4a51 HTTP/1.1\"" status: 204 len: 203 time: 0.2582572""]",4,high,4,Auto-labeled (high confidence)
[instance: <*>] Instance destroyed successfully.,22,1.0999999999999999,"[""[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] Instance destroyed successfully."", ""[instance: 96abccce-8d1f-4e07-b6d1-4b2ab87e23b4] Instance destroyed successfully."", ""[instance: b562ef10-ba2d-48ae-bf4a-18666cba4a51] Instance destroyed successfully.""]",0,low,0,
[instance: <*>] Terminating instance,22,1.0999999999999999,"[""[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] Terminating instance"", ""[instance: 96abccce-8d1f-4e07-b6d1-4b2ab87e23b4] Terminating instance"", ""[instance: b562ef10-ba2d-48ae-bf4a-18666cba4a51] Terminating instance""]",0,low,0,
[instance: <*>] Deleting instance files <*>,21,1.05,"[""[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] Deleting instance files /var/lib/nova/instances/b9000564-fe1a-409b-b8cc-1e88b294cd1d_del"", ""[instance: 96abccce-8d1f-4e07-b6d1-4b2ab87e23b4] Deleting instance files /var/lib/nova/instances/96abccce-8d1f-4e07-b6d1-4b2ab87e23b4_del"", ""[instance: b562ef10-ba2d-48ae-bf4a-18666cba4a51] Deleting instance files /var/lib/nova/instances/b562ef10-ba2d-48ae-bf4a-18666cba4a51_del""]",0,high,0,Auto-labeled (high confidence)
[instance: <*>] Took <*>.<*> seconds to destroy the instance on the hypervisor.,21,1.05,"[""[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] Took 1.03 seconds to destroy the instance on the hypervisor."", ""[instance: 96abccce-8d1f-4e07-b6d1-4b2ab87e23b4] Took 1.11 seconds to destroy the instance on the hypervisor."", ""[instance: b562ef10-ba2d-48ae-bf4a-18666cba4a51] Took 1.05 seconds to destroy the instance on the hypervisor.""]",4,low,0,
[instance: <*>] Deletion of <*> complete,21,1.05,"[""[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] Deletion of /var/lib/nova/instances/b9000564-fe1a-409b-b8cc-1e88b294cd1d_del complete"", ""[instance: 96abccce-8d1f-4e07-b6d1-4b2ab87e23b4] Deletion of /var/lib/nova/instances/96abccce-8d1f-4e07-b6d1-4b2ab87e23b4_del complete"", ""[instance: b562ef10-ba2d-48ae-bf4a-18666cba4a51] Deletion of /var/lib/nova/instances/b562ef10-ba2d-48ae-bf4a-18666cba4a51_del complete""]",0,high,0,Auto-labeled (high confidence)
[instance: <*>] Took <*>.<*> seconds to deallocate network for instance.,21,1.05,"[""[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] Took 0.48 seconds to deallocate network for instance."", ""[instance: 96abccce-8d1f-4e07-b6d1-4b2ab87e23b4] Took 0.52 seconds to deallocate network for instance."", ""[instance: b562ef10-ba2d-48ae-bf4a-18666cba4a51] Took 0.45 seconds to deallocate network for instance.""]",0,medium,0,
Removing base or swap file: <*>,21,1.05,"[""Removing base or swap file: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742"", ""Removing base or swap file: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742"", ""Removing base or swap file: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742""]",0,high,0,Auto-labeled (high confidence)
"[instance: <*>] memory limit: <*>.<*> MB, free: <*>.<*> MB",21,1.05,"[""[instance: 96abccce-8d1f-4e07-b6d1-4b2ab87e23b4] memory limit: 96258.00 MB, free: 95746.00 MB"", ""[instance: b562ef10-ba2d-48ae-bf4a-18666cba4a51] memory limit: 96258.00 MB, free: 95746.00 MB"", ""[instance: 78dc1847-8848-49cc-933e-9239b12c9dcf] memory limit: 96258.00 MB, free: 95746.00 MB""]",0,medium,0,
"[instance: <*>] Total memory: <*> MB, used: <*>.<*> MB",21,1.05,"[""[instance: 96abccce-8d1f-4e07-b6d1-4b2ab87e23b4] Total memory: 64172 MB, used: 512.00 MB"", ""[instance: b562ef10-ba2d-48ae-bf4a-18666cba4a51] Total memory: 64172 MB, used: 512.00 MB"", ""[instance: 78dc1847-8848-49cc-933e-9239b12c9dcf] Total memory: 64172 MB, used: 512.00 MB""]",0,medium,0,
"[instance: <*>] Attempting claim: memory <*> MB, disk <*> GB, vcpus <*> CPU",21,1.05,"[""[instance: 96abccce-8d1f-4e07-b6d1-4b2ab87e23b4] Attempting claim: memory 2048 MB, disk 20 GB, vcpus 1 CPU"", ""[instance: b562ef10-ba2d-48ae-bf4a-18666cba4a51] Attempting claim: memory 2048 MB, disk 20 GB, vcpus 1 CPU"", ""[instance: 78dc1847-8848-49cc-933e-9239b12c9dcf] Attempting claim: memory 2048 MB, disk 20 GB, vcpus 1 CPU""]",0,high,0,Auto-labeled (high confidence)
HTTP exception thrown: No instances found for any event,21,1.05,"[""HTTP exception thrown: No instances found for any event"", ""HTTP exception thrown: No instances found for any event"", ""HTTP exception thrown: No instances found for any event""]",0,high,0,Auto-labeled (high confidence)
[instance: <*>] Claim successful,21,1.05,"[""[instance: 96abccce-8d1f-4e07-b6d1-4b2ab87e23b4] Claim successful"", ""[instance: b562ef10-ba2d-48ae-bf4a-18666cba4a51] Claim successful"", ""[instance: 78dc1847-8848-49cc-933e-9239b12c9dcf] Claim successful""]",0,low,0,
[instance: <*>] Creating image,21,1.05,"[""[instance: 96abccce-8d1f-4e07-b6d1-4b2ab87e23b4] Creating image"", ""[instance: b562ef10-ba2d-48ae-bf4a-18666cba4a51] Creating image"", ""[instance: 78dc1847-8848-49cc-933e-9239b12c9dcf] Creating image""]",0,low,0,
[instance: <*>] VM Stopped (Lifecycle Event),21,1.05,"[""[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] VM Stopped (Lifecycle Event)"", ""[instance: 96abccce-8d1f-4e07-b6d1-4b2ab87e23b4] VM Stopped (Lifecycle Event)"", ""[instance: b562ef10-ba2d-48ae-bf4a-18666cba4a51] VM Stopped (Lifecycle Event)""]",0,low,0,
"[instance: <*>] vcpu limit not specified, defaulting to unlimited",21,1.05,"[""[instance: 96abccce-8d1f-4e07-b6d1-4b2ab87e23b4] vcpu limit not specified, defaulting to unlimited"", ""[instance: b562ef10-ba2d-48ae-bf4a-18666cba4a51] vcpu limit not specified, defaulting to unlimited"", ""[instance: 78dc1847-8848-49cc-933e-9239b12c9dcf] vcpu limit not specified, defaulting to unlimited""]",0,low,0,
"[instance: <*>] Total disk: <*> GB, used: <*>.<*> GB",21,1.05,"[""[instance: 96abccce-8d1f-4e07-b6d1-4b2ab87e23b4] Total disk: 15 GB, used: 0.00 GB"", ""[instance: b562ef10-ba2d-48ae-bf4a-18666cba4a51] Total disk: 15 GB, used: 0.00 GB"", ""[instance: 78dc1847-8848-49cc-933e-9239b12c9dcf] Total disk: 15 GB, used: 0.00 GB""]",0,medium,0,
"[instance: <*>] disk limit not specified, defaulting to unlimited",21,1.05,"[""[instance: 96abccce-8d1f-4e07-b6d1-4b2ab87e23b4] disk limit not specified, defaulting to unlimited"", ""[instance: b562ef10-ba2d-48ae-bf4a-18666cba4a51] disk limit not specified, defaulting to unlimited"", ""[instance: 78dc1847-8848-49cc-933e-9239b12c9dcf] disk limit not specified, defaulting to unlimited""]",0,medium,0,
"[instance: <*>] Total vcpu: <*> VCPU, used: <*>.<*> VCPU",21,1.05,"[""[instance: 96abccce-8d1f-4e07-b6d1-4b2ab87e23b4] Total vcpu: 16 VCPU, used: 0.00 VCPU"", ""[instance: b562ef10-ba2d-48ae-bf4a-18666cba4a51] Total vcpu: 16 VCPU, used: 0.00 VCPU"", ""[instance: 78dc1847-8848-49cc-933e-9239b12c9dcf] Total vcpu: 16 VCPU, used: 0.00 VCPU""]",0,low,0,
Final resource view: name=<*> phys_ram=<*> used_ram=<*> phys_disk=<*> used_disk=<*> total_vcpus=<*> used_vcpus=<*> pci_stats=[],15,0.75,"[""Final resource view: name=cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us phys_ram=64172MB used_ram=2560MB phys_disk=15GB used_disk=20GB total_vcpus=16 used_vcpus=1 pci_stats=[]"", ""Final resource view: name=cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us phys_ram=64172MB used_ram=2560MB phys_disk=15GB used_disk=20GB total_vcpus=16 used_vcpus=1 pci_stats=[]"", ""Final resource view: name=cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us phys_ram=64172MB used_ram=2560MB phys_disk=15GB used_disk=20GB total_vcpus=16 used_vcpus=1 pci_stats=[]""]",2,low,0,
"Total usable vcpus: <*>, total allocated vcpus: <*>",15,0.75,"[""Total usable vcpus: 16, total allocated vcpus: 1"", ""Total usable vcpus: 16, total allocated vcpus: 1"", ""Total usable vcpus: 16, total allocated vcpus: 1""]",0,medium,0,
Auditing locally available compute resources for node <*>,15,0.75,"[""Auditing locally available compute resources for node cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us"", ""Auditing locally available compute resources for node cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us"", ""Auditing locally available compute resources for node cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us""]",0,medium,0,
Compute_service record updated for <*>,15,0.75,"[""Compute_service record updated for cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us:cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us"", ""Compute_service record updated for cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us:cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us"", ""Compute_service record updated for cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us:cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us""]",0,low,0,
Base or swap file too young to remove: <*>,9,0.44999999999999996,"[""Base or swap file too young to remove: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742"", ""Base or swap file too young to remove: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742"", ""Base or swap file too young to remove: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742""]",0,high,0,Auto-labeled (high confidence)
The instance sync for host '<*>' did not match. Re-created its InstanceList.,5,0.25,"[""The instance sync for host 'cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us' did not match. Re-created its InstanceList."", ""The instance sync for host 'cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us' did not match. Re-created its InstanceList."", ""The instance sync for host 'cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us' did not match. Re-created its InstanceList.""]",0,medium,2,
Successfully synced instances from host '<*>'.,2,0.1,"[""Successfully synced instances from host 'cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us'."", ""Successfully synced instances from host 'cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us'.""]",0,medium,0,
Running instance usage audit for host <*> from <*>-<*>-<*> <*>:<*>:<*> to <*>-<*>-<*> <*>:<*>:<*>. <*> instances.,1,0.05,"[""Running instance usage audit for host cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us from 2017-05-16 05:00:00 to 2017-05-16 06:00:00. 87 instances.""]",0,high,0,Auto-labeled (high confidence)
"While synchronizing instance power states, found <*> instances in the database and <*> instances on the hypervisor.",1,0.05,"[""While synchronizing instance power states, found 1 instances in the database and 0 instances on the hypervisor.""]",6,low,2,
