LineId,Date,Time,Level,Component,Content,EventId,EventTemplate,AnomalyLabel,AnomalyLabelName,Source
1,17/06/09,20:10:40,INFO,executor.CoarseGrainedExecutorBackend,"Registered signal handlers for [TERM, HUP, INT]",E22,"Registered signal handlers for [TERM, HUP, INT]",0,normal,Spark_2k
2,17/06/09,20:10:40,INFO,spark.SecurityManager,"Changing view acls to: yarn,curi",E5,Changing view acls to: <*>,0,normal,Spark_2k
3,17/06/09,20:10:40,INFO,spark.SecurityManager,"Changing modify acls to: yarn,curi",E4,Changing modify acls to: <*>,0,normal,Spark_2k
4,17/06/09,20:10:40,INFO,spark.SecurityManager,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)",E26,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)",1,security_anomaly,Spark_2k
5,17/06/09,20:10:41,INFO,spark.SecurityManager,"Changing view acls to: yarn,curi",E5,Changing view acls to: <*>,0,normal,Spark_2k
6,17/06/09,20:10:41,INFO,spark.SecurityManager,"Changing modify acls to: yarn,curi",E4,Changing modify acls to: <*>,0,normal,Spark_2k
7,17/06/09,20:10:41,INFO,spark.SecurityManager,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)",E26,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)",1,security_anomaly,Spark_2k
8,17/06/09,20:10:41,INFO,slf4j.Slf4jLogger,Slf4jLogger started,E28,Slf4jLogger started,0,normal,Spark_2k
9,17/06/09,20:10:41,INFO,Remoting,Starting remoting,E31,Starting remoting,0,normal,Spark_2k
10,17/06/09,20:10:41,INFO,Remoting,Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@mesos-slave-07:55904],E23,Remoting started; listening on addresses :[akka.tcp://<*>],0,normal,Spark_2k
11,17/06/09,20:10:41,INFO,util.Utils,Successfully started service 'sparkExecutorActorSystem' on port 55904.,E34,Successfully started service 'sparkExecutorActorSystem' on port <*>.,0,normal,Spark_2k
