template,count,percentage,samples,suggested,confidence,label,notes
data_thread() got not answer from any [Thunderbird_<*>] datasource,819,40.949999999999996,"[""data_thread() got not answer from any [Thunderbird_A8] datasource"", ""data_thread() got not answer from any [Thunderbird_B8] datasource"", ""data_thread() got not answer from any [Thunderbird_C5] datasource""]",0,high,0,Auto-labeled (high confidence)
"synchronized to <*>, stratum <*>",568,28.4,"[""synchronized to 10.100.20.250, stratum 3"", ""synchronized to 10.100.28.250, stratum 3"", ""synchronized to 10.100.24.250, stratum 3""]",0,high,0,Auto-labeled (high confidence)
[ib_sm_sweep.c:1482]: No configuration change required,62,3.1,"[""[ib_sm_sweep.c:1482]: No configuration change required"", ""[ib_sm_sweep.c:1482]: No configuration change required"", ""[ib_sm_sweep.c:1482]: No configuration change required""]",0,high,0,Auto-labeled (high confidence)
[ib_sm_sweep.c:1455]: No topology change,62,3.1,"[""[ib_sm_sweep.c:1455]: No topology change"", ""[ib_sm_sweep.c:1455]: No topology change"", ""[ib_sm_sweep.c:1455]: No topology change""]",0,high,0,Auto-labeled (high confidence)
[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,62,3.1,"[""[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************"", ""[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************"", ""[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************""]",0,high,0,Auto-labeled (high confidence)
Warning: we failed to resolve data source name <*>,34,1.7000000000000002,"[""Warning: we failed to resolve data source name an14 an15 an16 an17 an18 an19 an20 an21 an22 an23 an24 an25 an26 an27 an28 an29 an30 an31 an32 an33 an34 an35 an36 an37 an38 an39 an40 an41 an42 an43 an44 an45 an46 an47 an48 an49 an50 an51 an52 an53 an54 an55 an56 an57 an58 an59 an60 an61 an62 an63 an64 an65 an66 an67 an68 an69 an70 an71 an72 an73 an74 an75 an76 an77 an78 an79 an80 an81 an82 an83 an84 an85 an86 an87 an88 an89 an90 an91 an92 an93 an94 an95 an96 an97 an98 an99 an100 an101 an102 an103 an104 an105 an106 an107 an108 an109 an110 an111 an112 an113 an114 an115 an116 an117 an118 an119 an120 an121 an122 an123 an124 an125 an126 an127 an128"", ""Warning: we failed to resolve data source name an14 an15 an16 an17 an18 an19 an20 an21 an22 an23 an24 an25 an26 an27 an28 an29 an30 an31 an32 an33 an34 an35 an36 an37 an38 an39 an40 an41 an42 an43 an44 an45 an46 an47 an48 an49 an50 an51 an52 an53 an54 an55 an56 an57 an58 an59 an60 an61 an62 an63 an64 an65 an66 an67 an68 an69 an70 an71 an72 an73 an74 an75 an76 an77 an78 an79 an80 an81 an82 an83 an84 an85 an86 an87 an88 an89 an90 an91 an92 an93 an94 an95 an96 an97 an98 an99 an100 an101 an102 an103 an104 an105 an106 an107 an108 an109 an110 an111 an112 an113 an114 an115 an116 an117 an118 an119 an120 an121 an122 an123 an124 an125 an126 an127 an128"", ""Warning: we failed to resolve data source name an142 an143 an144 an145 an146 an147 an148 an149 an150 an151 an152 an153 an154 an155 an156 an157 an158 an159 an160 an161 an162 an163 an164 an165 an166 an167 an168 an169 an170 an171 an172 an173 an174 an175 an176 an177 an178 an179 an180 an181 an182 an183 an184 an185 an186 an187 an188 an189 an190 an191 an192 an193 an194 an195 an196 an197 an198 an199 an200 an201 an202 an203 an204 an205 an206 an207 an208 an209 an210 an211 an212 an213 an214 an215 an216 an217 an218 an219 an220 an221 an222 an223 an224 an225 an226 an227 an228 an229 an230 an231 an232 an233 an234 an235 an236 an237 an238 an239 an240 an241 an242 an243 an244 an245 an246 an247 an248 an249 an250 an251 an252 an253 an254 an255 an256""]",1,high,1,Auto-labeled (high confidence)
session closed for user root,24,1.2,"[""session closed for user root"", ""session closed for user root"", ""session closed for user root""]",1,high,1,Auto-labeled (high confidence)
session opened for user root by (uid=0),19,0.95,"[""session opened for user root by (uid=0)"", ""session opened for user root by (uid=0)"", ""session opened for user root by (uid=0)""]",1,high,1,Auto-labeled (high confidence)
Reading included configuration file: <*> [file=<*>] [line=<*>],17,0.8500000000000001,"[""Reading included configuration file: /etc/xinetd.d/chargen [file=/etc/xinetd.conf] [line=15]"", ""Reading included configuration file: /etc/xinetd.d/chargen-udp [file=/etc/xinetd.d/chargen-udp] [line=18]"", ""Reading included configuration file: /etc/xinetd.d/cups-lpd [file=/etc/xinetd.d/cups-lpd] [line=17]""]",0,high,0,Auto-labeled (high confidence)
removing <*>,16,0.8,"[""removing chargen"", ""removing chargen"", ""removing daytime""]",0,high,0,Auto-labeled (high confidence)
