template,count,percentage,samples,suggested,confidence,label,notes
Session: <*>_<*> initialized by client WindowsUpdateAgent.,608,30.4,"[""Session: 30546173_4261722401 initialized by client WindowsUpdateAgent."", ""Session: 30546173_4262462443 initialized by client WindowsUpdateAgent."", ""Session: 30546173_4267072707 initialized by client WindowsUpdateAgent.""]",0,high,0,Auto-labeled (high confidence)
"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>",558,27.900000000000002,"[""Read out cached package applicability for package: Package_for_KB3121255~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 112, CurrentState:112"", ""Read out cached package applicability for package: Package_for_KB2656356~31bf3856ad364e35~amd64~~6.1.1.1, ApplicableState: 80, CurrentState:112"", ""Read out cached package applicability for package: Package_for_KB3108664~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 112, CurrentState:112""]",1,high,1,Auto-labeled (high confidence)
Warning: Unrecognized packageExtended attribute.,280,14.000000000000002,"[""Warning: Unrecognized packageExtended attribute."", ""Warning: Unrecognized packageExtended attribute."", ""Warning: Unrecognized packageExtended attribute.""]",0,high,0,Auto-labeled (high confidence)
Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],224,11.200000000000001,"[""Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM]"", ""Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM]"", ""Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM]""]",0,high,0,Auto-labeled (high confidence)
Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],224,11.200000000000001,"[""Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM]"", ""Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM]"", ""Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM]""]",1,high,1,Auto-labeled (high confidence)
Failed to internally open package. [HRESULT = <*> - CBS_E_INVALID_PACKAGE],18,0.8999999999999999,"[""Failed to internally open package. [HRESULT = 0x800f0805 - CBS_E_INVALID_PACKAGE]"", ""Failed to internally open package. [HRESULT = 0x800f0805 - CBS_E_INVALID_PACKAGE]"", ""Failed to internally open package. [HRESULT = 0x800f0805 - CBS_E_INVALID_PACKAGE]""]",0,high,0,Auto-labeled (high confidence)
Unloading offline registry hive: <*>,8,0.4,"[""Unloading offline registry hive: {bf1a281b-ad7b-4476-ac95-f47682990ce7}GLOBALROOT/Device/HarddiskVolumeShadowCopy2/Windows/System32/config/SOFTWARE"", ""Unloading offline registry hive: {bf1a281b-ad7b-4476-ac95-f47682990ce7}GLOBALROOT/Device/HarddiskVolumeShadowCopy2/Windows/System32/config/SYSTEM"", ""Unloading offline registry hive: {bf1a281b-ad7b-4476-ac95-f47682990ce7}GLOBALROOT/Device/HarddiskVolumeShadowCopy2/Windows/System32/config/SECURITY""]",0,high,0,Auto-labeled (high confidence)
"Loading offline registry hive: <*>, into registry key '<*>' from path '<*>'.",8,0.4,"[""Loading offline registry hive: SOFTWARE, into registry key '{bf1a281b-ad7b-4476-ac95-f47682990ce7}GLOBALROOT/Device/HarddiskVolumeShadowCopy2/Windows/System32/config/SOFTWARE' from path '\\\\?\\GLOBALROOT\\Device\\HarddiskVolumeShadowCopy2\\Windows\\System32\\config\\SOFTWARE'."", ""Loading offline registry hive: SYSTEM, into registry key '{bf1a281b-ad7b-4476-ac95-f47682990ce7}GLOBALROOT/Device/HarddiskVolumeShadowCopy2/Windows/System32/config/SYSTEM' from path '\\\\?\\GLOBALROOT\\Device\\HarddiskVolumeShadowCopy2\\Windows\\System32\\config\\SYSTEM'."", ""Loading offline registry hive: SECURITY, into registry key '{bf1a281b-ad7b-4476-ac95-f47682990ce7}GLOBALROOT/Device/HarddiskVolumeShadowCopy2/Windows/System32/config/SECURITY' from path '\\\\?\\GLOBALROOT\\Device\\HarddiskVolumeShadowCopy2\\Windows\\System32\\config\\SECURITY'.""]",0,high,0,Auto-labeled (high confidence)
<*>@<*>/<*>/<*>:<*>:<*>:<*>.<*> WcpInitialize (wcp.dll version <*>) called (stack @<*>),6,0.3,"[""00000001@2016/9/27:20:30:31.455 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed806eb5d @0x7fef9fb9b6d @0x7fef9f8358f @0xff83e97c @0xff83d799 @0xff83db2f)"", ""00000002@2016/9/27:20:30:31.458 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed806eb5d @0x7fefa006ade @0x7fef9fd2984 @0x7fef9f83665 @0xff83e97c @0xff83d799)"", ""00000003@2016/9/27:20:30:31.458 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed806eb5d @0x7fefa1c8728 @0x7fefa1c8856 @0xff83e474 @0xff83d7de @0xff83db2f)""]",0,high,0,Auto-labeled (high confidence)
<*> CSI Store <*> (<*>) initialized,3,0.15,"[""00000008 CSI Store 4991456 (0x00000000004c29e0) initialized"", ""0000000a CSI Store 17159600 (0x000000000105d5b0) initialized"", ""0000000b CSI Store 3065408 (0x00000000002ec640) initialized""]",0,high,0,Auto-labeled (high confidence)
"<*> Created NT transaction (seq <*>) result <*>, handle @<*>",3,0.15,"[""00000006 Created NT transaction (seq 1) result 0x00000000, handle @0x214"", ""0000000e Created NT transaction (seq 2) result 0x00000000, handle @0xb8"", ""00000006 Created NT transaction (seq 1) result 0x00000000, handle @0x218""]",0,high,0,Auto-labeled (high confidence)
"<*> Creating NT transaction (seq <*>), objectname [<*>]""(null)""",3,0.15,"[""00000005 Creating NT transaction (seq 1), objectname [6]\""(null)\"""", ""0000000d Creating NT transaction (seq 2), objectname [6]\""(null)\"""", ""00000005 Creating NT transaction (seq 1), objectname [6]\""(null)\""""]",0,high,0,Auto-labeled (high confidence)
<*> CSI perf trace:,3,0.15,"[""00000007@2016/9/27:20:30:31.462 CSI perf trace:"", ""0000000f@2016/9/27:20:40:54.786 CSI perf trace:"", ""00000007@2016/9/28:16:00:46.260 CSI perf trace:""]",0,high,0,Auto-labeled (high confidence)
Loaded Servicing Stack <*> with Core: <*>\cbscore.dll,2,0.1,"[""Loaded Servicing Stack v6.1.7601.23505 with Core: C:\\Windows\\winsxs\\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_6.1.7601.23505_none_681aa442f6fed7f0\\cbscore.dll"", ""Loaded Servicing Stack v6.1.7601.23505 with Core: C:\\Windows\\winsxs\\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_6.1.7601.23505_none_681aa442f6fed7f0\\cbscore.dll""]",0,high,0,Auto-labeled (high confidence)
SQM: Cleaning up report files older than <*> days.,2,0.1,"[""SQM: Cleaning up report files older than 10 days."", ""SQM: Cleaning up report files older than 10 days.""]",0,high,0,Auto-labeled (high confidence)
Starting the TrustedInstaller main loop.,2,0.1,"[""Starting the TrustedInstaller main loop."", ""Starting the TrustedInstaller main loop.""]",0,high,0,Auto-labeled (high confidence)
