LineId,Date,Time,Level,Node,Component,Id,Content,EventId,EventTemplate,AnomalyLabel,AnomalyLabelName,Source
1,2015-07-29,"17:41:44,747",INFO,QuorumPeer[myid=1]/0,0:0:0:0:0:0:0:2181:FastLeaderElection,774,Notification time out: 3200,E31,Notification time out: <*>,3,performance_issue,Zookeeper_2k
2,2015-07-29,"19:04:12,394",INFO,/10.10.34.11,3888:QuorumCnxManager$Listener,493,Received connection request /10.10.34.11:45307,E40,Received connection request /<*>:<*>,0,normal,Zookeeper_2k
3,2015-07-29,"19:04:29,071",WARN,SendWorker,188978561024:QuorumCnxManager$SendWorker,688,Send worker leaving thread,E42,Send worker leaving thread,0,normal,Zookeeper_2k
4,2015-07-29,"19:04:29,079",WARN,SendWorker,188978561024:QuorumCnxManager$SendWorker,679,Interrupted while waiting for message on queue,E24,Interrupted while waiting for message on queue,4,network_anomaly,Zookeeper_2k
5,2015-07-29,"19:13:17,524",WARN,SendWorker,188978561024:QuorumCnxManager$SendWorker,688,Send worker leaving thread,E42,Send worker leaving thread,0,normal,Zookeeper_2k
6,2015-07-29,"19:13:24,282",WARN,RecvWorker,188978561024:QuorumCnxManager$RecvWorker,762,"Connection broken for id 188978561024, my id = 1, error =",E11,"Connection broken for id <*>, my id = <*>, error =",4,network_anomaly,Zookeeper_2k
7,2015-07-29,"19:13:24,370",INFO,/10.10.34.11,3888:QuorumCnxManager$Listener,493,Received connection request /10.10.34.13:57707,E40,Received connection request /<*>:<*>,0,normal,Zookeeper_2k
8,2015-07-29,"19:13:27,721",WARN,RecvWorker,188978561024:QuorumCnxManager$RecvWorker,762,"Connection broken for id 188978561024, my id = 1, error =",E11,"Connection broken for id <*>, my id = <*>, error =",4,network_anomaly,Zookeeper_2k
9,2015-07-29,"19:13:34,382",WARN,SendWorker,188978561024:QuorumCnxManager$SendWorker,679,Interrupted while waiting for message on queue,E24,Interrupted while waiting for message on queue,4,network_anomaly,Zookeeper_2k
10,2015-07-29,"19:13:37,626",WARN,SendWorker,188978561024:QuorumCnxManager$SendWorker,688,Send worker leaving thread,E42,Send worker leaving thread,0,normal,Zookeeper_2k
11,2015-07-29,"19:13:44,301",WARN,SendWorker,188978561024:QuorumCnxManager$SendWorker,688,Send worker leaving thread,E42,Send worker leaving thread,0,normal,Zookeeper_2k
12,2015-07-29,"19:13:47,731",WARN,RecvWorker,188978561024:QuorumCnxManager$RecvWorker,762,"Connection broken for id 188978561024, my id = 1, error =",E11,"Connection broken for id <*>, my id = <*>, error =",4,network_anomaly,Zookeeper_2k
13,2015-07-29,"19:13:54,220",INFO,/10.10.34.11,3888:QuorumCnxManager$Listener,493,Received connection request /10.10.34.11:45382,E40,Received connection request /<*>:<*>,0,normal,Zookeeper_2k
14,2015-07-29,"19:13:54,399",WARN,RecvWorker,188978561024:QuorumCnxManager$RecvWorker,762,"Connection broken for id 188978561024, my id = 1, error =",E11,"Connection broken for id <*>, my id = <*>, error =",4,network_anomaly,Zookeeper_2k
15,2015-07-29,"19:14:04,406",WARN,SendWorker,188978561024:QuorumCnxManager$SendWorker,679,Interrupted while waiting for message on queue,E24,Interrupted while waiting for message on queue,4,network_anomaly,Zookeeper_2k
16,2015-07-29,"19:14:07,559",WARN,RecvWorker,188978561024:QuorumCnxManager$RecvWorker,765,Interrupting SendWorker,E25,Interrupting SendWorker,0,normal,Zookeeper_2k
17,2015-07-29,"19:14:07,653",WARN,SendWorker,188978561024:QuorumCnxManager$SendWorker,688,Send worker leaving thread,E42,Send worker leaving thread,0,normal,Zookeeper_2k
18,2015-07-29,"19:14:24,329",WARN,RecvWorker,188978561024:QuorumCnxManager$RecvWorker,765,Interrupting SendWorker,E25,Interrupting SendWorker,0,normal,Zookeeper_2k
19,2015-07-29,"19:14:37,585",WARN,SendWorker,188978561024:QuorumCnxManager$SendWorker,679,Interrupted while waiting for message on queue,E24,Interrupted while waiting for message on queue,4,network_anomaly,Zookeeper_2k
20,2015-07-29,"19:14:44,256",INFO,/10.10.34.11,3888:QuorumCnxManager$Listener,493,Received connection request /10.10.34.11:45440,E40,Received connection request /<*>:<*>,0,normal,Zookeeper_2k
21,2015-07-29,"19:14:47,593",WARN,RecvWorker,188978561024:QuorumCnxManager$RecvWorker,765,Interrupting SendWorker,E25,Interrupting SendWorker,0,normal,Zookeeper_2k
22,2015-07-29,"19:14:54,354",WARN,SendWorker,188978561024:QuorumCnxManager$SendWorker,688,Send worker leaving thread,E42,Send worker leaving thread,0,normal,Zookeeper_2k
