template,count,percentage,samples,suggested,confidence,label,notes
Interrupted while waiting for message on queue,314,15.7,"[""Interrupted while waiting for message on queue"", ""Interrupted while waiting for message on queue"", ""Interrupted while waiting for message on queue""]",6,high,6,Auto-labeled (high confidence)
Received connection request /<*>:<*>,299,14.95,"[""Received connection request /10.10.34.11:45307"", ""Received connection request /10.10.34.13:57707"", ""Received connection request /10.10.34.11:45382""]",0,high,0,Auto-labeled (high confidence)
"Connection broken for id <*>, my id = <*>, error =",291,14.549999999999999,"[""Connection broken for id 188978561024, my id = 1, error ="", ""Connection broken for id 188978561024, my id = 1, error ="", ""Connection broken for id 188978561024, my id = 1, error =""]",0,high,0,Auto-labeled (high confidence)
Interrupting SendWorker,266,13.3,"[""Interrupting SendWorker"", ""Interrupting SendWorker"", ""Interrupting SendWorker""]",0,medium,0,
Send worker leaving thread,262,13.100000000000001,"[""Send worker leaving thread"", ""Send worker leaving thread"", ""Send worker leaving thread""]",0,high,0,Auto-labeled (high confidence)
Cannot open channel to <*> at election address /<*>:<*>,86,4.3,"[""Cannot open channel to 2 at election address /10.10.34.12:3888"", ""Cannot open channel to 2 at election address /10.10.34.12:3888"", ""Cannot open channel to 3 at election address /10.10.34.13:3888""]",0,high,4,Auto-labeled (high confidence)
Established session <*> with negotiated timeout <*> for client /<*>:<*>,50,2.5,"[""Established session 0x14ed93111f20027 with negotiated timeout 10000 for client /10.10.34.13:37177"", ""Established session 0x14ed93111f2002b with negotiated timeout 10000 for client /10.10.34.22:47073"", ""Established session 0x14ed93111f2005b with negotiated timeout 10000 for client /10.10.34.28:52117""]",1,high,0,Auto-labeled (high confidence)
Accepted socket connection from /<*>:<*>,48,2.4,"[""Accepted socket connection from /10.10.34.13:37196"", ""Accepted socket connection from /10.10.34.26:56952"", ""Accepted socket connection from /10.10.34.30:38562""]",1,high,0,Auto-labeled (high confidence)
Processed session termination for sessionid: <*>,47,2.35,"[""Processed session termination for sessionid: 0x14ede63a5a70002"", ""Processed session termination for sessionid: 0x34ede65503f0010"", ""Processed session termination for sessionid: 0x14ede63a5a70023""]",1,high,0,Auto-labeled (high confidence)
Closed socket connection for client /<*>:<*> which had sessionid <*>,44,2.1999999999999997,"[""Closed socket connection for client /10.10.34.18:42772 which had sessionid 0x14ed93111f20005"", ""Closed socket connection for client /10.10.34.12:45542 which had sessionid 0x14ed93111f20002"", ""Closed socket connection for client /10.10.34.13:37106 which had sessionid 0x14ed93111f20010""]",1,high,0,Auto-labeled (high confidence)
