LineId,Date,Day,Time,Component,Pid,Content,EventId,EventTemplate,AnomalyLabel,AnomalyLabelName,Source,Month,Level,PID
1,Dec,10.0,06:55:46,LabSZ,24200.0,reverse mapping checking getaddrinfo for ns.marryaldkfaczcz.com [173.234.31.186] failed - POSSIBLE BREAK-IN ATTEMPT!,E27,reverse mapping checking getaddrinfo for <*> [<*>] failed - POSSIBLE BREAK-IN ATTEMPT!,1,security_anomaly,OpenSSH_2k,,,
2,Dec,10.0,06:55:46,LabSZ,24200.0,Invalid user webmaster from 173.234.31.186,E13,Invalid user <*> from <*>,1,security_anomaly,OpenSSH_2k,,,
3,Dec,10.0,06:55:46,LabSZ,24200.0,input_userauth_request: invalid user webmaster [preauth],E12,input_userauth_request: invalid user <*> [preauth],1,security_anomaly,OpenSSH_2k,,,
4,Dec,10.0,06:55:46,LabSZ,24200.0,pam_unix(sshd:auth): check pass; user unknown,E21,pam_unix(sshd:auth): check pass; user unknown,0,normal,OpenSSH_2k,,,
5,Dec,10.0,06:55:46,LabSZ,24200.0,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=173.234.31.186,E19,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*>,1,security_anomaly,OpenSSH_2k,,,
6,Dec,10.0,06:55:48,LabSZ,24200.0,Failed password for invalid user webmaster from 173.234.31.186 port 38926 ssh2,E10,Failed password for invalid user <*> from <*> port <*> ssh2,1,security_anomaly,OpenSSH_2k,,,
7,Dec,10.0,06:55:48,LabSZ,24200.0,Connection closed by 173.234.31.186 [preauth],E2,Connection closed by <*> [preauth],0,normal,OpenSSH_2k,,,
8,Dec,10.0,07:02:47,LabSZ,24203.0,Connection closed by 212.47.254.145 [preauth],E2,Connection closed by <*> [preauth],0,normal,OpenSSH_2k,,,
9,Dec,10.0,07:07:38,LabSZ,24206.0,Invalid user test9 from 52.80.34.196,E13,Invalid user <*> from <*>,1,security_anomaly,OpenSSH_2k,,,
10,Dec,10.0,07:07:38,LabSZ,24206.0,input_userauth_request: invalid user test9 [preauth],E12,input_userauth_request: invalid user <*> [preauth],1,security_anomaly,OpenSSH_2k,,,
11,Dec,10.0,07:07:38,LabSZ,24206.0,pam_unix(sshd:auth): check pass; user unknown,E21,pam_unix(sshd:auth): check pass; user unknown,0,normal,OpenSSH_2k,,,
12,Dec,10.0,07:07:38,LabSZ,24206.0,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=ec2-52-80-34-196.cn-north-1.compute.amazonaws.com.cn,E19,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*>,1,security_anomaly,OpenSSH_2k,,,
13,Dec,10.0,07:07:45,LabSZ,24206.0,Failed password for invalid user test9 from 52.80.34.196 port 36060 ssh2,E10,Failed password for invalid user <*> from <*> port <*> ssh2,1,security_anomaly,OpenSSH_2k,,,
14,Dec,10.0,07:07:45,LabSZ,24206.0,Received disconnect from 52.80.34.196: 11: Bye Bye [preauth],E24,Received disconnect from <*>: <*>: Bye Bye [preauth],0,normal,OpenSSH_2k,,,
15,Dec,10.0,07:08:28,LabSZ,24208.0,reverse mapping checking getaddrinfo for ns.marryaldkfaczcz.com [173.234.31.186] failed - POSSIBLE BREAK-IN ATTEMPT!,E27,reverse mapping checking getaddrinfo for <*> [<*>] failed - POSSIBLE BREAK-IN ATTEMPT!,1,security_anomaly,OpenSSH_2k,,,
16,Dec,10.0,07:08:28,LabSZ,24208.0,Invalid user webmaster from 173.234.31.186,E13,Invalid user <*> from <*>,1,security_anomaly,OpenSSH_2k,,,
17,Dec,10.0,07:08:28,LabSZ,24208.0,input_userauth_request: invalid user webmaster [preauth],E12,input_userauth_request: invalid user <*> [preauth],1,security_anomaly,OpenSSH_2k,,,
18,Dec,10.0,07:08:28,LabSZ,24208.0,pam_unix(sshd:auth): check pass; user unknown,E21,pam_unix(sshd:auth): check pass; user unknown,0,normal,OpenSSH_2k,,,
19,Dec,10.0,07:08:28,LabSZ,24208.0,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=173.234.31.186,E19,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*>,1,security_anomaly,OpenSSH_2k,,,
20,Dec,10.0,07:08:30,LabSZ,24208.0,Failed password for invalid user webmaster from 173.234.31.186 port 39257 ssh2,E10,Failed password for invalid user <*> from <*> port <*> ssh2,1,security_anomaly,OpenSSH_2k,,,
21,Dec,10.0,07:08:30,LabSZ,24208.0,Connection closed by 173.234.31.186 [preauth],E2,Connection closed by <*> [preauth],0,normal,OpenSSH_2k,,,
22,Dec,10.0,07:11:42,LabSZ,24224.0,Invalid user chen from 202.100.179.208,E13,Invalid user <*> from <*>,1,security_anomaly,OpenSSH_2k,,,
