LineId,Time,Level,Content,EventId,EventTemplate,AnomalyLabel,AnomalyLabelName,Source,timestamp_normalized,timestamp_dt,hour,day_of_week,day_of_month,month,is_weekend,is_business_hours,is_night,time_diff_seconds,log_index,logs_last_10
1,Sun Dec 04 04:47:44 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>,0,normal,Apache_2k,2005-12-04 04:47:44.000,2005-12-04 04:47:44,4,6,4,12,1,0,1,0.0,0,2
2,Sun Dec 04 04:47:44 2005,error,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>,2,system_failure,Apache_2k,2005-12-04 04:47:44.000,2005-12-04 04:47:44,4,6,4,12,1,0,1,0.0,1,2
3,Sun Dec 04 04:51:08 2005,notice,jk2_init() Found child 6725 in scoreboard slot 10,E1,jk2_init() Found child <*> in scoreboard slot <*>,0,normal,Apache_2k,2005-12-04 04:51:08.000,2005-12-04 04:51:08,4,6,4,12,1,0,1,204.0,2,15
4,Sun Dec 04 04:51:09 2005,notice,jk2_init() Found child 6726 in scoreboard slot 8,E1,jk2_init() Found child <*> in scoreboard slot <*>,0,normal,Apache_2k,2005-12-04 04:51:09.000,2005-12-04 04:51:09,4,6,4,12,1,0,1,1.0,3,15
5,Sun Dec 04 04:51:09 2005,notice,jk2_init() Found child 6728 in scoreboard slot 6,E1,jk2_init() Found child <*> in scoreboard slot <*>,0,normal,Apache_2k,2005-12-04 04:51:09.000,2005-12-04 04:51:09,4,6,4,12,1,0,1,0.0,4,15
6,Sun Dec 04 04:51:14 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>,0,normal,Apache_2k,2005-12-04 04:51:14.000,2005-12-04 04:51:14,4,6,4,12,1,0,1,5.0,5,15
7,Sun Dec 04 04:51:14 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>,0,normal,Apache_2k,2005-12-04 04:51:14.000,2005-12-04 04:51:14,4,6,4,12,1,0,1,0.0,6,15
8,Sun Dec 04 04:51:14 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>,0,normal,Apache_2k,2005-12-04 04:51:14.000,2005-12-04 04:51:14,4,6,4,12,1,0,1,0.0,7,15
9,Sun Dec 04 04:51:18 2005,error,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>,2,system_failure,Apache_2k,2005-12-04 04:51:18.000,2005-12-04 04:51:18,4,6,4,12,1,0,1,4.0,8,15
10,Sun Dec 04 04:51:18 2005,error,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>,2,system_failure,Apache_2k,2005-12-04 04:51:18.000,2005-12-04 04:51:18,4,6,4,12,1,0,1,0.0,9,15
11,Sun Dec 04 04:51:18 2005,error,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>,2,system_failure,Apache_2k,2005-12-04 04:51:18.000,2005-12-04 04:51:18,4,6,4,12,1,0,1,0.0,10,15
12,Sun Dec 04 04:51:37 2005,notice,jk2_init() Found child 6736 in scoreboard slot 10,E1,jk2_init() Found child <*> in scoreboard slot <*>,0,normal,Apache_2k,2005-12-04 04:51:37.000,2005-12-04 04:51:37,4,6,4,12,1,0,1,19.0,11,15
13,Sun Dec 04 04:51:38 2005,notice,jk2_init() Found child 6733 in scoreboard slot 7,E1,jk2_init() Found child <*> in scoreboard slot <*>,0,normal,Apache_2k,2005-12-04 04:51:38.000,2005-12-04 04:51:38,4,6,4,12,1,0,1,1.0,12,15
14,Sun Dec 04 04:51:38 2005,notice,jk2_init() Found child 6734 in scoreboard slot 9,E1,jk2_init() Found child <*> in scoreboard slot <*>,0,normal,Apache_2k,2005-12-04 04:51:38.000,2005-12-04 04:51:38,4,6,4,12,1,0,1,0.0,13,15
16,Sun Dec 04 04:51:52 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>,0,normal,Apache_2k,2005-12-04 04:51:52.000,2005-12-04 04:51:52,4,6,4,12,1,0,1,14.0,14,15
15,Sun Dec 04 04:51:52 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>,0,normal,Apache_2k,2005-12-04 04:51:52.000,2005-12-04 04:51:52,4,6,4,12,1,0,1,0.0,15,15
17,Sun Dec 04 04:51:55 2005,error,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>,2,system_failure,Apache_2k,2005-12-04 04:51:55.000,2005-12-04 04:51:55,4,6,4,12,1,0,1,3.0,16,15
18,Sun Dec 04 04:52:04 2005,notice,jk2_init() Found child 6738 in scoreboard slot 6,E1,jk2_init() Found child <*> in scoreboard slot <*>,0,normal,Apache_2k,2005-12-04 04:52:04.000,2005-12-04 04:52:04,4,6,4,12,1,0,1,9.0,17,17
19,Sun Dec 04 04:52:04 2005,notice,jk2_init() Found child 6741 in scoreboard slot 9,E1,jk2_init() Found child <*> in scoreboard slot <*>,0,normal,Apache_2k,2005-12-04 04:52:04.000,2005-12-04 04:52:04,4,6,4,12,1,0,1,0.0,18,17
