LineId,LogId,Node,Component,State,Time,Flag,Content,EventId,EventTemplate,AnomalyLabel,AnomalyLabelName,Source,timestamp_normalized,timestamp_dt,hour,day_of_week,day_of_month,month,is_weekend,is_business_hours,is_night,time_diff_seconds,log_index,logs_last_10
396,2271403,full,partition,status,1060163570,-1,running,E38,running,0,normal,HPC_2k,2003-08-06 15:22:50.000,2003-08-06 15:22:50,15,2,6,8,0,1,0,0.0,0,1
377,2272849,full,partition,status,1060239078,-1,running,E38,running,0,normal,HPC_2k,2003-08-07 12:21:18.000,2003-08-07 12:21:18,12,3,7,8,0,1,0,75508.0,1,1
376,2273811,full,partition,status,1060324505,-1,running,E38,running,0,normal,HPC_2k,2003-08-08 12:05:05.000,2003-08-08 12:05:05,12,4,8,8,0,1,0,85427.0,2,1
372,2274013,full,partition,status,1060340885,-1,running,E38,running,0,normal,HPC_2k,2003-08-08 16:38:05.000,2003-08-08 16:38:05,16,4,8,8,0,1,0,16380.0,3,1
381,2277349,full,partition,status,1060507389,-1,running,E38,running,0,normal,HPC_2k,2003-08-10 14:53:09.000,2003-08-10 14:53:09,14,6,10,8,1,1,0,166504.0,4,1
375,2279283,full,partition,status,1060744865,-1,running,E38,running,0,normal,HPC_2k,2003-08-13 08:51:05.000,2003-08-13 08:51:05,8,2,13,8,0,0,0,237476.0,5,1
374,2279427,full,partition,status,1060773635,-1,running,E38,running,0,normal,HPC_2k,2003-08-13 16:50:35.000,2003-08-13 16:50:35,16,2,13,8,0,1,0,28770.0,6,1
371,2286759,full,partition,status,1061219795,-1,running,E38,running,0,normal,HPC_2k,2003-08-18 20:46:35.000,2003-08-18 20:46:35,20,0,18,8,0,0,0,446160.0,7,1
395,2287804,full,partition,status,1061267556,-1,running,E38,running,0,normal,HPC_2k,2003-08-19 10:02:36.000,2003-08-19 10:02:36,10,1,19,8,0,1,0,47761.0,8,1
380,2313012,full,partition,status,1061552195,-1,running,E38,running,0,normal,HPC_2k,2003-08-22 17:06:35.000,2003-08-22 17:06:35,17,4,22,8,0,1,0,284639.0,9,1
1441,2550228,Interconnect-1N01,switch_module,error,1072442018,1,Link ok,E25,Link ok,0,normal,HPC_2k,2003-12-26 18:03:38.000,2003-12-26 18:03:38,18,4,26,12,0,0,0,10889823.0,10,1
712,2552510,gige7,gige,temperature,1072553474,1,normal,E31,normal,0,normal,HPC_2k,2003-12-28 01:01:14.000,2003-12-28 01:01:14,1,6,28,12,1,0,1,111456.0,11,1
717,2552992,node-212,node,temperature,1072633140,1,ambient=30,E2,ambient=<*>,0,normal,HPC_2k,2003-12-28 23:09:00.000,2003-12-28 23:09:00,23,6,28,12,1,0,0,79666.0,12,1
