LineId,Date,Time,Level,Process,Component,Content,EventId,EventTemplate,AnomalyLabel,AnomalyLabelName,Source,timestamp_normalized,timestamp_dt,hour,day_of_week,day_of_month,month,is_weekend,is_business_hours,is_night,time_diff_seconds,log_index,logs_last_10
1,2015-10-18,"18:01:47,978",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,Created MRAppMaster for application appattempt_1445144423722_0020_000001,E29,Created MRAppMaster for application appattempt_<*>,0,normal,Hadoop_2k,2015-10-18 18:01:47.978,2015-10-18 18:01:47.978,18,6,18,10,1,0,0,0.0,0,157
2,2015-10-18,"18:01:48,963",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,Executing with tokens:,E42,Executing with tokens:,0,normal,Hadoop_2k,2015-10-18 18:01:48.963,2015-10-18 18:01:48.963,18,6,18,10,1,0,0,0.985,1,157
3,2015-10-18,"18:01:48,963",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,"Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: 20 cluster_timestamp: 1445144423722 } attemptId: 1 } keyId: -127633188)",E61,"Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: <*> cluster_timestamp: <*> } attemptId: <*> } keyId: <*>)",0,normal,Hadoop_2k,2015-10-18 18:01:48.963,2015-10-18 18:01:48.963,18,6,18,10,1,0,0,0.0,2,157
4,2015-10-18,"18:01:49,228",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,Using mapred newApiCommitter.,E111,Using mapred newApiCommitter.,0,normal,Hadoop_2k,2015-10-18 18:01:49.228,2015-10-18 18:01:49.228,18,6,18,10,1,0,0,0.265,3,157
5,2015-10-18,"18:01:50,353",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,OutputCommitter set in config null,E76,OutputCommitter set in config null,0,normal,Hadoop_2k,2015-10-18 18:01:50.353,2015-10-18 18:01:50.353,18,6,18,10,1,0,0,1.125,4,157
6,2015-10-18,"18:01:50,509",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter,E75,OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter,0,normal,Hadoop_2k,2015-10-18 18:01:50.509,2015-10-18 18:01:50.509,18,6,18,10,1,0,0,0.156,5,157
7,2015-10-18,"18:01:50,556",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.jobhistory.EventType for class org.apache.hadoop.mapreduce.jobhistory.JobHistoryEventHandler,E89,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,0,normal,Hadoop_2k,2015-10-18 18:01:50.556,2015-10-18 18:01:50.556,18,6,18,10,1,0,0,0.047,6,157
8,2015-10-18,"18:01:50,556",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.JobEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$JobEventDispatcher,E89,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,0,normal,Hadoop_2k,2015-10-18 18:01:50.556,2015-10-18 18:01:50.556,18,6,18,10,1,0,0,0.0,7,157
9,2015-10-18,"18:01:50,556",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.TaskEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$TaskEventDispatcher,E89,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,0,normal,Hadoop_2k,2015-10-18 18:01:50.556,2015-10-18 18:01:50.556,18,6,18,10,1,0,0,0.0,8,157
10,2015-10-18,"18:01:50,556",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.TaskAttemptEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$TaskAttemptEventDispatcher,E89,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,0,normal,Hadoop_2k,2015-10-18 18:01:50.556,2015-10-18 18:01:50.556,18,6,18,10,1,0,0,0.0,9,157
11,2015-10-18,"18:01:50,572",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventType for class org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventHandler,E89,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,0,normal,Hadoop_2k,2015-10-18 18:01:50.572,2015-10-18 18:01:50.572,18,6,18,10,1,0,0,0.016,10,157
12,2015-10-18,"18:01:50,572",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.speculate.Speculator$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$SpeculatorEventDispatcher,E89,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,0,normal,Hadoop_2k,2015-10-18 18:01:50.572,2015-10-18 18:01:50.572,18,6,18,10,1,0,0,0.0,11,157
13,2015-10-18,"18:01:50,572",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.rm.ContainerAllocator$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$ContainerAllocatorRouter,E89,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,0,normal,Hadoop_2k,2015-10-18 18:01:50.572,2015-10-18 18:01:50.572,18,6,18,10,1,0,0,0.0,12,157
14,2015-10-18,"18:01:50,588",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.launcher.ContainerLauncher$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$ContainerLauncherRouter,E89,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,0,normal,Hadoop_2k,2015-10-18 18:01:50.588,2015-10-18 18:01:50.588,18,6,18,10,1,0,0,0.016,13,157
15,2015-10-18,"18:01:50,634",INFO,main,org.apache.hadoop.mapreduce.v2.jobhistory.JobHistoryUtils,Default file system [hdfs://msra-sa-41:9000],E31,Default file system [hdfs://<*>:<*>],0,normal,Hadoop_2k,2015-10-18 18:01:50.634,2015-10-18 18:01:50.634,18,6,18,10,1,0,0,0.046,14,157
16,2015-10-18,"18:01:50,666",INFO,main,org.apache.hadoop.mapreduce.v2.jobhistory.JobHistoryUtils,Default file system [hdfs://msra-sa-41:9000],E31,Default file system [hdfs://<*>:<*>],0,normal,Hadoop_2k,2015-10-18 18:01:50.666,2015-10-18 18:01:50.666,18,6,18,10,1,0,0,0.032,15,157
17,2015-10-18,"18:01:50,713",INFO,main,org.apache.hadoop.mapreduce.v2.jobhistory.JobHistoryUtils,Default file system [hdfs://msra-sa-41:9000],E31,Default file system [hdfs://<*>:<*>],0,normal,Hadoop_2k,2015-10-18 18:01:50.713,2015-10-18 18:01:50.713,18,6,18,10,1,0,0,0.047,16,157
18,2015-10-18,"18:01:50,728",INFO,main,org.apache.hadoop.mapreduce.jobhistory.JobHistoryEventHandler,Emitting job history data to the timeline server is not enabled,E37,Emitting job history data to the timeline server is not enabled,0,normal,Hadoop_2k,2015-10-18 18:01:50.728,2015-10-18 18:01:50.728,18,6,18,10,1,0,0,0.015,17,157
19,2015-10-18,"18:01:50,806",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.JobFinishEvent$Type for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$JobFinishEventHandler,E89,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,0,normal,Hadoop_2k,2015-10-18 18:01:50.806,2015-10-18 18:01:50.806,18,6,18,10,1,0,0,0.078,18,157
20,2015-10-18,"18:01:51,197",INFO,main,org.apache.hadoop.metrics2.impl.MetricsConfig,loaded properties from hadoop-metrics2.properties,E63,loaded properties from hadoop-metrics2.properties,0,normal,Hadoop_2k,2015-10-18 18:01:51.197,2015-10-18 18:01:51.197,18,6,18,10,1,0,0,0.391,19,157
21,2015-10-18,"18:01:51,306",INFO,main,org.apache.hadoop.metrics2.impl.MetricsSystemImpl,Scheduled snapshot period at 10 second(s).,E92,Scheduled snapshot period at <*> second(s).,0,normal,Hadoop_2k,2015-10-18 18:01:51.306,2015-10-18 18:01:51.306,18,6,18,10,1,0,0,0.109,20,157
22,2015-10-18,"18:01:51,306",INFO,main,org.apache.hadoop.metrics2.impl.MetricsSystemImpl,MRAppMaster metrics system started,E69,MRAppMaster metrics system started,0,normal,Hadoop_2k,2015-10-18 18:01:51.306,2015-10-18 18:01:51.306,18,6,18,10,1,0,0,0.0,21,157
23,2015-10-18,"18:01:51,322",INFO,main,org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl,Adding job token for job_1445144423722_0020 to jobTokenSecretManager,E7,Adding job token for job_<*> to jobTokenSecretManager,0,normal,Hadoop_2k,2015-10-18 18:01:51.322,2015-10-18 18:01:51.322,18,6,18,10,1,0,0,0.016,22,157
24,2015-10-18,"18:01:51,619",INFO,main,org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl,Not uberizing job_1445144423722_0020 because: not enabled; too many maps; too much input;,E71,Not uberizing job_<*> because: not enabled; too many maps; too much input;,0,normal,Hadoop_2k,2015-10-18 18:01:51.619,2015-10-18 18:01:51.619,18,6,18,10,1,0,0,0.297,23,157
25,2015-10-18,"18:01:51,650",INFO,main,org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl,Input size for job job_1445144423722_0020 = 1256521728. Number of splits = 10,E48,Input size for job job_<*> = <*>. Number of splits = <*>,0,normal,Hadoop_2k,2015-10-18 18:01:51.650,2015-10-18 18:01:51.650,18,6,18,10,1,0,0,0.031,24,157
26,2015-10-18,"18:01:51,650",INFO,main,org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl,Number of reduces for job job_1445144423722_0020 = 1,E73,Number of reduces for job job_<*> = <*>,0,normal,Hadoop_2k,2015-10-18 18:01:51.650,2015-10-18 18:01:51.650,18,6,18,10,1,0,0,0.0,25,157
27,2015-10-18,"18:01:51,650",INFO,main,org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl,job_1445144423722_0020Job Transitioned from NEW to INITED,E55,job_<*>Job Transitioned from NEW to INITED,0,normal,Hadoop_2k,2015-10-18 18:01:51.650,2015-10-18 18:01:51.650,18,6,18,10,1,0,0,0.0,26,157
28,2015-10-18,"18:01:51,650",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,"MRAppMaster launching normal, non-uberized, multi-container job job_1445144423722_0020.",E68,"MRAppMaster launching normal, non-uberized, multi-container job job_<*>.",0,normal,Hadoop_2k,2015-10-18 18:01:51.650,2015-10-18 18:01:51.650,18,6,18,10,1,0,0,0.0,27,157
29,2015-10-18,"18:01:51,713",INFO,main,org.apache.hadoop.ipc.CallQueueManager,Using callQueue class java.util.concurrent.LinkedBlockingQueue,E110,Using callQueue class java.util.concurrent.LinkedBlockingQueue,0,normal,Hadoop_2k,2015-10-18 18:01:51.713,2015-10-18 18:01:51.713,18,6,18,10,1,0,0,0.063,28,157
30,2015-10-18,"18:01:51,775",INFO,Socket Reader #1 for port 62260,org.apache.hadoop.ipc.Server,Starting Socket Reader #1 for port 62260,E98,Starting Socket Reader #<*> for port <*>,0,normal,Hadoop_2k,2015-10-18 18:01:51.775,2015-10-18 18:01:51.775,18,6,18,10,1,0,0,0.062,29,157
32,2015-10-18,"18:01:51,791",INFO,main,org.apache.hadoop.mapreduce.v2.app.client.MRClientService,Instantiated MRClientService at MININT-FNANLI5.fareast.corp.microsoft.com/10.86.169.121:62260,E49,Instantiated MRClientService at MININT-<*>/<*>:<*>,0,normal,Hadoop_2k,2015-10-18 18:01:51.791,2015-10-18 18:01:51.791,18,6,18,10,1,0,0,0.016,30,157
31,2015-10-18,"18:01:51,791",INFO,main,org.apache.hadoop.yarn.factories.impl.pb.RpcServerFactoryPBImpl,Adding protocol org.apache.hadoop.mapreduce.v2.api.MRClientProtocolPB to the server,E9,Adding protocol org.apache.hadoop.mapreduce.v2.api.MRClientProtocolPB to the server,0,normal,Hadoop_2k,2015-10-18 18:01:51.791,2015-10-18 18:01:51.791,18,6,18,10,1,0,0,0.0,31,157
33,2015-10-18,"18:01:51,806",INFO,IPC Server Responder,org.apache.hadoop.ipc.Server,IPC Server Responder: starting,E51,IPC Server Responder: starting,0,normal,Hadoop_2k,2015-10-18 18:01:51.806,2015-10-18 18:01:51.806,18,6,18,10,1,0,0,0.015,32,157
34,2015-10-18,"18:01:51,806",INFO,IPC Server listener on 62260,org.apache.hadoop.ipc.Server,IPC Server listener on 62260: starting,E50,IPC Server listener on <*>: starting,0,normal,Hadoop_2k,2015-10-18 18:01:51.806,2015-10-18 18:01:51.806,18,6,18,10,1,0,0,0.0,33,157
35,2015-10-18,"18:01:51,885",INFO,main,org.mortbay.log,Logging to org.slf4j.impl.Log4jLoggerAdapter(org.mortbay.log) via org.mortbay.log.Slf4jLog,E64,Logging to <*>(org.mortbay.log) via <*>,0,normal,Hadoop_2k,2015-10-18 18:01:51.885,2015-10-18 18:01:51.885,18,6,18,10,1,0,0,0.079,34,157
36,2015-10-18,"18:01:51,900",INFO,main,org.apache.hadoop.http.HttpRequestLog,Http request log for http.requests.mapreduce is not defined,E47,Http request log for http.requests.mapreduce is not defined,5,config_error,Hadoop_2k,2015-10-18 18:01:51.900,2015-10-18 18:01:51.900,18,6,18,10,1,0,0,0.015,35,157
37,2015-10-18,"18:01:51,916",INFO,main,org.apache.hadoop.http.HttpServer2,Added global filter 'safety' (class=org.apache.hadoop.http.HttpServer2$QuotingInputFilter),E5,Added global filter 'safety' (class=org.apache.hadoop.http.HttpServer2$QuotingInputFilter),0,normal,Hadoop_2k,2015-10-18 18:01:51.916,2015-10-18 18:01:51.916,18,6,18,10,1,0,0,0.016,36,157
38,2015-10-18,"18:01:51,916",INFO,main,org.apache.hadoop.http.HttpServer2,Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context mapreduce,E3,Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context mapreduce,0,normal,Hadoop_2k,2015-10-18 18:01:51.916,2015-10-18 18:01:51.916,18,6,18,10,1,0,0,0.0,37,157
39,2015-10-18,"18:01:51,916",INFO,main,org.apache.hadoop.http.HttpServer2,Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context static,E4,Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context static,0,normal,Hadoop_2k,2015-10-18 18:01:51.916,2015-10-18 18:01:51.916,18,6,18,10,1,0,0,0.0,38,157
40,2015-10-18,"18:01:51,947",INFO,main,org.apache.hadoop.http.HttpServer2,adding path spec: /mapreduce/*,E8,adding path spec: /<*>/*,0,normal,Hadoop_2k,2015-10-18 18:01:51.947,2015-10-18 18:01:51.947,18,6,18,10,1,0,0,0.031,39,157
41,2015-10-18,"18:01:51,947",INFO,main,org.apache.hadoop.http.HttpServer2,adding path spec: /ws/*,E8,adding path spec: /<*>/*,0,normal,Hadoop_2k,2015-10-18 18:01:51.947,2015-10-18 18:01:51.947,18,6,18,10,1,0,0,0.0,40,157
42,2015-10-18,"18:01:51,963",INFO,main,org.apache.hadoop.http.HttpServer2,Jetty bound to port 62267,E52,Jetty bound to port <*>,0,normal,Hadoop_2k,2015-10-18 18:01:51.963,2015-10-18 18:01:51.963,18,6,18,10,1,0,0,0.016,41,157
43,2015-10-18,"18:01:51,963",INFO,main,org.mortbay.log,jetty-6.1.26,E53,jetty-6.1.26,0,normal,Hadoop_2k,2015-10-18 18:01:51.963,2015-10-18 18:01:51.963,18,6,18,10,1,0,0,0.0,42,157
44,2015-10-18,"18:01:52,088",INFO,main,org.mortbay.log,Extract jar:file:/D:/hadoop-2.6.0-localbox/share/hadoop/yarn/hadoop-yarn-common-2.6.0-SNAPSHOT.jar!/webapps/mapreduce to C:\Users\msrabi\AppData\Local\Temp\Jetty_0_0_0_0_62267_mapreduce____.8n7xum\webapp,E43,Extract jar:file:<*> to <*>,0,normal,Hadoop_2k,2015-10-18 18:01:52.088,2015-10-18 18:01:52.088,18,6,18,10,1,0,0,0.125,43,157
45,2015-10-18,"18:01:52,728",INFO,main,org.mortbay.log,Started HttpServer2$SelectChannelConnectorWithSafeStartup@0.0.0.0:62267,E97,Started HttpServer2$SelectChannelConnectorWithSafeStartup@<*>:<*>,0,normal,Hadoop_2k,2015-10-18 18:01:52.728,2015-10-18 18:01:52.728,18,6,18,10,1,0,0,0.64,44,157
46,2015-10-18,"18:01:52,728",INFO,main,org.apache.hadoop.yarn.webapp.WebApps,Web app /mapreduce started at 62267,E113,Web app /mapreduce started at <*>,0,normal,Hadoop_2k,2015-10-18 18:01:52.728,2015-10-18 18:01:52.728,18,6,18,10,1,0,0,0.0,45,157
48,2015-10-18,"18:01:53,400",INFO,main,org.apache.hadoop.ipc.CallQueueManager,Using callQueue class java.util.concurrent.LinkedBlockingQueue,E110,Using callQueue class java.util.concurrent.LinkedBlockingQueue,0,normal,Hadoop_2k,2015-10-18 18:01:53.400,2015-10-18 18:01:53.400,18,6,18,10,1,0,0,0.672,46,157
47,2015-10-18,"18:01:53,400",INFO,main,org.apache.hadoop.yarn.webapp.WebApps,Registered webapp guice modules,E88,Registered webapp guice modules,0,normal,Hadoop_2k,2015-10-18 18:01:53.400,2015-10-18 18:01:53.400,18,6,18,10,1,0,0,0.0,47,157
49,2015-10-18,"18:01:53,447",INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.speculate.DefaultSpeculator,JOB_CREATE job_1445144423722_0020,E57,JOB_CREATE job_<*>,0,normal,Hadoop_2k,2015-10-18 18:01:53.447,2015-10-18 18:01:53.447,18,6,18,10,1,0,0,0.047,48,157
50,2015-10-18,"18:01:53,447",INFO,main,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerRequestor,nodeBlacklistingEnabled:true,E70,nodeBlacklistingEnabled:true,0,normal,Hadoop_2k,2015-10-18 18:01:53.447,2015-10-18 18:01:53.447,18,6,18,10,1,0,0,0.0,49,157
51,2015-10-18,"18:01:53,447",INFO,main,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerRequestor,maxTaskFailuresPerNode is 3,E67,maxTaskFailuresPerNode is <*>,0,normal,Hadoop_2k,2015-10-18 18:01:53.447,2015-10-18 18:01:53.447,18,6,18,10,1,0,0,0.0,50,157
52,2015-10-18,"18:01:53,447",INFO,main,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerRequestor,blacklistDisablePercent is 33,E25,blacklistDisablePercent is <*>,0,normal,Hadoop_2k,2015-10-18 18:01:53.447,2015-10-18 18:01:53.447,18,6,18,10,1,0,0,0.0,51,157
53,2015-10-18,"18:01:53,510",INFO,Socket Reader #1 for port 62270,org.apache.hadoop.ipc.Server,Starting Socket Reader #1 for port 62270,E98,Starting Socket Reader #<*> for port <*>,0,normal,Hadoop_2k,2015-10-18 18:01:53.510,2015-10-18 18:01:53.510,18,6,18,10,1,0,0,0.063,52,157
54,2015-10-18,"18:01:53,510",INFO,IPC Server listener on 62270,org.apache.hadoop.ipc.Server,IPC Server listener on 62270: starting,E50,IPC Server listener on <*>: starting,0,normal,Hadoop_2k,2015-10-18 18:01:53.510,2015-10-18 18:01:53.510,18,6,18,10,1,0,0,0.0,53,157
55,2015-10-18,"18:01:53,510",INFO,IPC Server Responder,org.apache.hadoop.ipc.Server,IPC Server Responder: starting,E51,IPC Server Responder: starting,0,normal,Hadoop_2k,2015-10-18 18:01:53.510,2015-10-18 18:01:53.510,18,6,18,10,1,0,0,0.0,54,157
56,2015-10-18,"18:01:53,557",INFO,main,org.apache.hadoop.yarn.client.RMProxy,Connecting to ResourceManager at msra-sa-41/10.190.173.170:8030,E27,Connecting to ResourceManager at <*>/<*>:<*>,0,normal,Hadoop_2k,2015-10-18 18:01:53.557,2015-10-18 18:01:53.557,18,6,18,10,1,0,0,0.047,55,157
57,2015-10-18,"18:01:53,713",INFO,main,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,"maxContainerCapability: <memory:8192, vCores:32>",E66,"maxContainerCapability: <memory:<*>, vCores:<*>>",0,normal,Hadoop_2k,2015-10-18 18:01:53.713,2015-10-18 18:01:53.713,18,6,18,10,1,0,0,0.156,56,157
58,2015-10-18,"18:01:53,713",INFO,main,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,queue: default,E82,queue: default,0,normal,Hadoop_2k,2015-10-18 18:01:53.713,2015-10-18 18:01:53.713,18,6,18,10,1,0,0,0.0,57,157
