LineId,Time,Component,Pid,Content,EventId,EventTemplate,AnomalyLabel,AnomalyLabelName,Source,timestamp_normalized,timestamp_dt,hour,day_of_week,day_of_month,month,is_weekend,is_business_hours,is_night,time_diff_seconds,log_index,logs_last_10
1,20171223-22:15:29:606,Step_LSC,30002312,onStandStepChanged 3579,E42,onStandStepChanged <*>,0,normal,HealthApp_2k,2017-12-23 22:15:29.606,2017-12-23 22:15:29.606,22,5,23,12,1,0,0,0.0,0,311
2,20171223-22:15:29:615,Step_LSC,30002312,onExtend:1514038530000 14 0 4,E39,onExtend:<*> <*> <*> <*>,0,normal,HealthApp_2k,2017-12-23 22:15:29.615,2017-12-23 22:15:29.615,22,5,23,12,1,0,0,0.009,1,311
3,20171223-22:15:29:633,Step_StandReportReceiver,30002312,onReceive action: android.intent.action.SCREEN_ON,E41,onReceive action: android.intent.action.SCREEN_ON,0,normal,HealthApp_2k,2017-12-23 22:15:29.633,2017-12-23 22:15:29.633,22,5,23,12,1,0,0,0.018,2,311
4,20171223-22:15:29:635,Step_LSC,30002312,processHandleBroadcastAction action:android.intent.action.SCREEN_ON,E43,processHandleBroadcastAction action:android.intent.action.SCREEN_ON,0,normal,HealthApp_2k,2017-12-23 22:15:29.635,2017-12-23 22:15:29.635,22,5,23,12,1,0,0,0.002,3,311
5,20171223-22:15:29:635,Step_StandStepCounter,30002312,flush sensor data,E12,flush sensor data,0,normal,HealthApp_2k,2017-12-23 22:15:29.635,2017-12-23 22:15:29.635,22,5,23,12,1,0,0,0.0,4,311
6,20171223-22:15:29:635,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##6993##548365##8661##12266##27164404,E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>,0,normal,HealthApp_2k,2017-12-23 22:15:29.635,2017-12-23 22:15:29.635,22,5,23,12,1,0,0,0.0,5,311
7,20171223-22:15:29:636,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7007##548365##8661##12361##27173954,E58,setTodayTotalDetailSteps=<*>,0,normal,HealthApp_2k,2017-12-23 22:15:29.636,2017-12-23 22:15:29.636,22,5,23,12,1,0,0,0.001,6,311
8,20171223-22:15:29:636,Step_LSC,30002312,onStandStepChanged 3579,E42,onStandStepChanged <*>,0,normal,HealthApp_2k,2017-12-23 22:15:29.636,2017-12-23 22:15:29.636,22,5,23,12,1,0,0,0.0,7,311
9,20171223-22:15:29:645,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126775,E4,calculateCaloriesWithCache totalCalories=<*>,0,normal,HealthApp_2k,2017-12-23 22:15:29.645,2017-12-23 22:15:29.645,22,5,23,12,1,0,0,0.009,8,311
10,20171223-22:15:29:648,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,E3,calculateAltitudeWithCache totalAltitude=<*>,0,normal,HealthApp_2k,2017-12-23 22:15:29.648,2017-12-23 22:15:29.648,22,5,23,12,1,0,0,0.003,9,311
11,20171223-22:15:29:649,Step_StandReportReceiver,30002312,REPORT : 7007 5002 150089 240,E47,REPORT : <*> <*> <*> <*>,0,normal,HealthApp_2k,2017-12-23 22:15:29.649,2017-12-23 22:15:29.649,22,5,23,12,1,0,0,0.001,10,311
12,20171223-22:15:29:737,Step_LSC,30002312,onExtend:1514038530000 0 0 4,E39,onExtend:<*> <*> <*> <*>,0,normal,HealthApp_2k,2017-12-23 22:15:29.737,2017-12-23 22:15:29.737,22,5,23,12,1,0,0,0.088,11,311
