LineId,Label,Timestamp,Date,User,Month,Day,Time,Location,Component,PID,Content,EventId,EventTemplate,AnomalyLabel,AnomalyLabelName,Source,timestamp_normalized,timestamp_dt,hour,day_of_week,day_of_month,month,is_weekend,is_business_hours,is_night,time_diff_seconds,log_index,logs_last_10
1,-,1131566461,2005.11.09,dn228,Nov,9,12:01:01,dn228/dn228,crond(pam_unix),2915.0,session closed for user root,E117,session closed for user root,1,security_anomaly,Thunderbird_2k,2025-11-09 12:01:01.000,2025-11-09 12:01:01,12,6,9,11,1,1,0,0.0,0,181
24,-,1131566461,2005.11.09,dn754,Nov,9,12:01:01,dn754/dn754,crond,2914.0,(root) CMD (run-parts /etc/cron.hourly),E3,(root) CMD (run-parts /etc/cron.hourly),1,security_anomaly,Thunderbird_2k,2025-11-09 12:01:01.000,2025-11-09 12:01:01,12,6,9,11,1,1,0,0.0,1,181
25,-,1131566461,2005.11.09,dn978,Nov,9,12:01:01,dn978/dn978,crond(pam_unix),2920.0,session closed for user root,E117,session closed for user root,1,security_anomaly,Thunderbird_2k,2025-11-09 12:01:01.000,2025-11-09 12:01:01,12,6,9,11,1,1,0,0.0,2,181
26,-,1131566461,2005.11.09,dn978,Nov,9,12:01:01,dn978/dn978,crond(pam_unix),2920.0,session opened for user root by (uid=0),E118,session opened for user root by (uid=0),1,security_anomaly,Thunderbird_2k,2025-11-09 12:01:01.000,2025-11-09 12:01:01,12,6,9,11,1,1,0,0.0,3,181
27,-,1131566461,2005.11.09,dn978,Nov,9,12:01:01,dn978/dn978,crond,2921.0,(root) CMD (run-parts /etc/cron.hourly),E3,(root) CMD (run-parts /etc/cron.hourly),1,security_anomaly,Thunderbird_2k,2025-11-09 12:01:01.000,2025-11-09 12:01:01,12,6,9,11,1,1,0,0.0,4,181
28,-,1131566461,2005.11.09,eadmin1,Nov,9,12:01:01,src@eadmin1,crond(pam_unix),4307.0,session closed for user root,E117,session closed for user root,1,security_anomaly,Thunderbird_2k,2025-11-09 12:01:01.000,2025-11-09 12:01:01,12,6,9,11,1,1,0,0.0,5,181
29,-,1131566461,2005.11.09,eadmin1,Nov,9,12:01:01,src@eadmin1,crond(pam_unix),4307.0,session opened for user root by (uid=0),E118,session opened for user root by (uid=0),1,security_anomaly,Thunderbird_2k,2025-11-09 12:01:01.000,2025-11-09 12:01:01,12,6,9,11,1,1,0,0.0,6,181
30,-,1131566461,2005.11.09,eadmin1,Nov,9,12:01:01,src@eadmin1,crond,4308.0,(root) CMD (run-parts /etc/cron.hourly),E3,(root) CMD (run-parts /etc/cron.hourly),1,security_anomaly,Thunderbird_2k,2025-11-09 12:01:01.000,2025-11-09 12:01:01,12,6,9,11,1,1,0,0.0,7,181
32,-,1131566461,2005.11.09,eadmin2,Nov,9,12:01:01,src@eadmin2,crond(pam_unix),12636.0,session opened for user root by (uid=0),E118,session opened for user root by (uid=0),1,security_anomaly,Thunderbird_2k,2025-11-09 12:01:01.000,2025-11-09 12:01:01,12,6,9,11,1,1,0,0.0,8,181
23,-,1131566461,2005.11.09,dn754,Nov,9,12:01:01,dn754/dn754,crond(pam_unix),2913.0,session opened for user root by (uid=0),E118,session opened for user root by (uid=0),1,security_anomaly,Thunderbird_2k,2025-11-09 12:01:01.000,2025-11-09 12:01:01,12,6,9,11,1,1,0,0.0,9,181
33,-,1131566461,2005.11.09,eadmin2,Nov,9,12:01:01,src@eadmin2,crond,12637.0,(root) CMD (run-parts /etc/cron.hourly),E3,(root) CMD (run-parts /etc/cron.hourly),1,security_anomaly,Thunderbird_2k,2025-11-09 12:01:01.000,2025-11-09 12:01:01,12,6,9,11,1,1,0,0.0,10,181
35,-,1131566461,2005.11.09,en257,Nov,9,12:01:01,en257/en257,crond(pam_unix),8950.0,session opened for user root by (uid=0),E118,session opened for user root by (uid=0),1,security_anomaly,Thunderbird_2k,2025-11-09 12:01:01.000,2025-11-09 12:01:01,12,6,9,11,1,1,0,0.0,11,181
36,-,1131566461,2005.11.09,en257,Nov,9,12:01:01,en257/en257,crond,8951.0,(root) CMD (run-parts /etc/cron.hourly),E3,(root) CMD (run-parts /etc/cron.hourly),1,security_anomaly,Thunderbird_2k,2025-11-09 12:01:01.000,2025-11-09 12:01:01,12,6,9,11,1,1,0,0.0,12,181
37,-,1131566461,2005.11.09,en74,Nov,9,12:01:01,en74/en74,crond(pam_unix),3080.0,session closed for user root,E117,session closed for user root,1,security_anomaly,Thunderbird_2k,2025-11-09 12:01:01.000,2025-11-09 12:01:01,12,6,9,11,1,1,0,0.0,13,181
38,-,1131566461,2005.11.09,en74,Nov,9,12:01:01,en74/en74,crond(pam_unix),3080.0,session opened for user root by (uid=0),E118,session opened for user root by (uid=0),1,security_anomaly,Thunderbird_2k,2025-11-09 12:01:01.000,2025-11-09 12:01:01,12,6,9,11,1,1,0,0.0,14,181
39,-,1131566461,2005.11.09,en74,Nov,9,12:01:01,en74/en74,crond,3081.0,(root) CMD (run-parts /etc/cron.hourly),E3,(root) CMD (run-parts /etc/cron.hourly),1,security_anomaly,Thunderbird_2k,2025-11-09 12:01:01.000,2025-11-09 12:01:01,12,6,9,11,1,1,0,0.0,15,181
