LineId,Date,Time,Pid,Tid,Level,Component,Content,EventId,EventTemplate,AnomalyLabel,AnomalyLabelName,Source,timestamp_normalized,timestamp_dt,hour,day_of_week,day_of_month,month,is_weekend,is_business_hours,is_night,time_diff_seconds,log_index,logs_last_10
1,03-17,16:13:38.811,1702,2395,D,WindowManager,"printFreezingDisplayLogsopening app wtoken = AppWindowToken{9f4ef63 token=Token{a64f992 ActivityRecord{de9231d u0 com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity t761}}}, allDrawn= false, startingDisplayed =  false, startingMoved =  false, isRelaunching =  false",E100,"printFreezingDisplayLogsopening app wtoken = AppWindowToken{<*> token=Token{<*> ActivityRecord{<*> u0 <*>/.<*> t761}}}, allDrawn= false, startingDisplayed =  false, startingMoved =  false, isRelaunching =  false",0,normal,Android_2k,2025-03-17 16:13:38.811,2025-03-17 16:13:38.811,16,0,17,3,0,1,0,0.0,0,432
2,03-17,16:13:38.819,1702,8671,D,PowerManagerService,"acquire lock=233570404, flags=0x1, tag=""View Lock"", name=com.android.systemui, ws=null, uid=10037, pid=2227",E10,"acquire lock=<*>, flags=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>",0,normal,Android_2k,2025-03-17 16:13:38.819,2025-03-17 16:13:38.819,16,0,17,3,0,1,0,0.008,1,432
3,03-17,16:13:38.820,1702,8671,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x23,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",E103,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=<*>,adj=<*>.0userId=<*>",0,normal,Android_2k,2025-03-17 16:13:38.820,2025-03-17 16:13:38.820,16,0,17,3,0,1,0,0.001,2,432
4,03-17,16:13:38.839,1702,2113,V,WindowManager,Skipping AppWindowToken{df0798e token=Token{78af589 ActivityRecord{3b04890 u0 com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity t761}}} -- going to hide,E131,Skipping AppWindowToken{<*> token=Token{<*> ActivityRecord{<*> u0 <*>}}} -- going to hide,0,normal,Android_2k,2025-03-17 16:13:38.839,2025-03-17 16:13:38.839,16,0,17,3,0,1,0,0.019,3,432
5,03-17,16:13:38.859,2227,2227,D,TextView,visible is system.time.showampm,E165,visible is <*>,0,normal,Android_2k,2025-03-17 16:13:38.859,2025-03-17 16:13:38.859,16,0,17,3,0,1,0,0.02,4,432
6,03-17,16:13:38.861,2227,2227,D,TextView,mVisiblity.getValue is false,E82,mVisiblity.getValue is false,0,normal,Android_2k,2025-03-17 16:13:38.861,2025-03-17 16:13:38.861,16,0,17,3,0,1,0,0.002,5,432
7,03-17,16:13:38.869,2227,2227,D,TextView,visible is system.charge.show,E165,visible is <*>,0,normal,Android_2k,2025-03-17 16:13:38.869,2025-03-17 16:13:38.869,16,0,17,3,0,1,0,0.008,6,432
8,03-17,16:13:38.871,2227,2227,D,TextView,mVisiblity.getValue is false,E82,mVisiblity.getValue is false,0,normal,Android_2k,2025-03-17 16:13:38.871,2025-03-17 16:13:38.871,16,0,17,3,0,1,0,0.002,7,432
9,03-17,16:13:38.875,2227,2227,D,TextView,visible is system.call.count gt 0,E166,visible is <*> gt <*>,0,normal,Android_2k,2025-03-17 16:13:38.875,2025-03-17 16:13:38.875,16,0,17,3,0,1,0,0.004,8,432
10,03-17,16:13:38.877,2227,2227,D,TextView,mVisiblity.getValue is false,E82,mVisiblity.getValue is false,0,normal,Android_2k,2025-03-17 16:13:38.877,2025-03-17 16:13:38.877,16,0,17,3,0,1,0,0.002,9,432
