LineId,Month,Date,Time,User,Component,PID,Address,Content,EventId,EventTemplate,AnomalyLabel,AnomalyLabelName,Source,timestamp_normalized,timestamp_dt,hour,day_of_week,day_of_month,month,is_weekend,is_business_hours,is_night,time_diff_seconds,log_index,logs_last_10
1,Jul,1,09:00:55,calvisitor-10-105-160-95,kernel,0,,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = 11 unplug = 0,E252,IOThunderboltSwitch<<*>>(<*>)::listenerCallback - Thunderbolt HPD packet for route = <*> port = <*> unplug = <*>,0,normal,Mac_2k,2025-07-01 09:00:55.000,2025-07-01 09:00:55,9,1,1,7,0,1,0,0.0,0,1
2,Jul,1,09:01:05,calvisitor-10-105-160-95,com.apple.CDScheduler,43,,Thermal pressure state: 1 Memory pressure state: 0,E323,Thermal pressure state: <*> Memory pressure state: <*>,0,normal,Mac_2k,2025-07-01 09:01:05.000,2025-07-01 09:01:05,9,1,1,7,0,1,0,10.0,1,2
3,Jul,1,09:01:06,calvisitor-10-105-160-95,QQ,10018,,FA||Url||taskID[2019352994] dealloc,E216,FA||Url||taskID[<*>] dealloc,0,normal,Mac_2k,2025-07-01 09:01:06.000,2025-07-01 09:01:06,9,1,1,7,0,1,0,1.0,2,2
4,Jul,1,09:02:26,calvisitor-10-105-160-95,kernel,0,,ARPT: 620701.011328: AirPort_Brcm43xx::syncPowerState: WWEN[enabled],E128,ARPT: <*>.<*>: AirPort_<*>::syncPowerState: WWEN[enabled],0,normal,Mac_2k,2025-07-01 09:02:26.000,2025-07-01 09:02:26,9,1,1,7,0,1,0,80.0,3,2
5,Jul,1,09:02:26,authorMacBook-Pro,kernel,0,,ARPT: 620702.879952: AirPort_Brcm43xx::platformWoWEnable: WWEN[disable],E124,ARPT: <*>.<*>: AirPort_<*>::platformWoWEnable: WWEN[disable],0,normal,Mac_2k,2025-07-01 09:02:26.000,2025-07-01 09:02:26,9,1,1,7,0,1,0,0.0,4,2
6,Jul,1,09:03:11,calvisitor-10-105-160-95,mDNSResponder,91,,mDNS_DeregisterInterface: Frequent transitions for interface awdl0 (FE80:0000:0000:0000:D8A5:90FF:FEF5:7FFF),E260,mDNS_DeregisterInterface: Frequent transitions for interface awdl0 (<*>),0,normal,Mac_2k,2025-07-01 09:03:11.000,2025-07-01 09:03:11,9,1,1,7,0,1,0,45.0,5,2
7,Jul,1,09:03:13,calvisitor-10-105-160-95,kernel,0,,"ARPT: 620749.901374: IOPMPowerSource Information: onSleep,  SleepType: Normal Sleep,  'ExternalConnected': Yes, 'TimeRemaining': 0,",E135,"ARPT: <*>.<*>: IOPMPowerSource Information: onSleep,  SleepType: Normal Sleep,  'ExternalConnected': Yes, 'TimeRemaining': <*>,",1,security_anomaly,Mac_2k,2025-07-01 09:03:13.000,2025-07-01 09:03:13,9,1,1,7,0,1,0,2.0,6,2
8,Jul,1,09:04:33,calvisitor-10-105-160-95,kernel,0,,"ARPT: 620750.434035: wl0: wl_update_tcpkeep_seq: Original Seq: 3226706533, Ack: 3871687177, Win size: 4096",E149,"ARPT: <*>.<*>: wl0: wl_update_tcpkeep_seq: Original Seq: <*>, Ack: <*>, Win size: <*>",0,normal,Mac_2k,2025-07-01 09:04:33.000,2025-07-01 09:04:33,9,1,1,7,0,1,0,80.0,7,3
9,Jul,1,09:04:33,authorMacBook-Pro,kernel,0,,ARPT: 620752.337198: ARPT: Wake Reason: Wake on Scan offload,E131,ARPT: <*>.<*>: ARPT: Wake Reason: Wake on Scan offload,0,normal,Mac_2k,2025-07-01 09:04:33.000,2025-07-01 09:04:33,9,1,1,7,0,1,0,0.0,8,3
10,Jul,1,09:04:37,authorMacBook-Pro,symptomsd,215,,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value 2,E50,__<*>-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value <*>,0,normal,Mac_2k,2025-07-01 09:04:37.000,2025-07-01 09:04:37,9,1,1,7,0,1,0,4.0,9,3
