LineId,Logrecord,Date,Time,Pid,Level,Component,ADDR,Content,EventId,EventTemplate,AnomalyLabel,AnomalyLabelName,Source,timestamp_normalized,timestamp_dt,hour,day_of_week,day_of_month,month,is_weekend,is_business_hours,is_night,time_diff_seconds,log_index,logs_last_10
1,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:00.008,25746,INFO,nova.osapi_compute.wsgi.server,req-38101a0b-2096-447d-96ea-a692162415ae 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2477829",E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>",0,normal,OpenStack_2k,2017-05-16 00:00:00.008,2017-05-16 00:00:00.008,0,1,16,5,0,0,1,0.0,0,141
2,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:00.272,25746,INFO,nova.osapi_compute.wsgi.server,req-9bc36dd9-91c5-4314-898a-47625eb93b09 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2577181",E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>",0,normal,OpenStack_2k,2017-05-16 00:00:00.272,2017-05-16 00:00:00.272,0,1,16,5,0,0,1,0.264,1,141
3,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:01.551,25746,INFO,nova.osapi_compute.wsgi.server,req-55db2d8d-cdb7-4b4b-993b-429be84c0c3e 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2731631",E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>",0,normal,OpenStack_2k,2017-05-16 00:00:01.551,2017-05-16 00:00:01.551,0,1,16,5,0,0,1,1.279,2,141
4,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:01.813,25746,INFO,nova.osapi_compute.wsgi.server,req-2a3dc421-6604-42a7-9390-a18dc824d5d6 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2580249",E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>",0,normal,OpenStack_2k,2017-05-16 00:00:01.813,2017-05-16 00:00:01.813,0,1,16,5,0,0,1,0.262,3,141
5,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:03.091,25746,INFO,nova.osapi_compute.wsgi.server,req-939eb332-c1c1-4e67-99b8-8695f8f1980a 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2727931",E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>",0,normal,OpenStack_2k,2017-05-16 00:00:03.091,2017-05-16 00:00:03.091,0,1,16,5,0,0,1,1.278,4,141
6,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:03.358,25746,INFO,nova.osapi_compute.wsgi.server,req-b6a4fa91-7414-432a-b725-52b5613d3ca3 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2642131",E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>",0,normal,OpenStack_2k,2017-05-16 00:00:03.358,2017-05-16 00:00:03.358,0,1,16,5,0,0,1,0.267,5,141
7,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:04.500,2931,INFO,nova.compute.manager,req-3ea4052c-895d-4b64-9e2d-04d64c4d94ab - - - - -,[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] VM Started (Lifecycle Event),E22,[instance: <*>] VM Started (Lifecycle Event),0,normal,OpenStack_2k,2017-05-16 00:00:04.500,2017-05-16 00:00:04.500,0,1,16,5,0,0,1,1.142,6,141
8,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:04.562,2931,INFO,nova.compute.manager,req-3ea4052c-895d-4b64-9e2d-04d64c4d94ab - - - - -,[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] VM Paused (Lifecycle Event),E20,[instance: <*>] VM Paused (Lifecycle Event),0,normal,OpenStack_2k,2017-05-16 00:00:04.562,2017-05-16 00:00:04.562,0,1,16,5,0,0,1,0.062,7,141
9,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:04.693,2931,INFO,nova.compute.manager,req-3ea4052c-895d-4b64-9e2d-04d64c4d94ab - - - - -,[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] During sync_power_state the instance has a pending task (spawning). Skip.,E7,[instance: <*>] During sync_power_state the instance has a pending task (spawning). Skip.,0,normal,OpenStack_2k,2017-05-16 00:00:04.693,2017-05-16 00:00:04.693,0,1,16,5,0,0,1,0.131,8,141
10,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:04.789,25746,INFO,nova.osapi_compute.wsgi.server,req-bbfc3fb8-7cb3-4ac8-801e-c893d1082762 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.4256971",E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>",0,normal,OpenStack_2k,2017-05-16 00:00:04.789,2017-05-16 00:00:04.789,0,1,16,5,0,0,1,0.096,9,141
