LineId,Date,Time,Level,Node,Component,Id,Content,EventId,EventTemplate,AnomalyLabel,AnomalyLabelName,Source,timestamp_normalized,timestamp_dt,hour,day_of_week,day_of_month,month,is_weekend,is_business_hours,is_night,time_diff_seconds,log_index,logs_last_10
1,2015-07-29,"17:41:44,747",INFO,QuorumPeer[myid=1]/0,0:0:0:0:0:0:0:2181:FastLeaderElection,774,Notification time out: 3200,E31,Notification time out: <*>,0,normal,Zookeeper_2k,2015-07-29 17:41:44.747,2015-07-29 17:41:44.747,17,2,29,7,0,1,0,0.0,0,1
754,2015-07-29,"17:42:30,405",INFO,QuorumPeer[myid=2]/0,0:0:0:0:0:0:0:2181:Environment,100,Server environment:java.vendor=Oracle Corporation,E44,Server environment:<*>,1,security_anomaly,Zookeeper_2k,2015-07-29 17:42:30.405,2015-07-29 17:42:30.405,17,2,29,7,0,1,0,45.658,1,2
1462,2015-07-29,"17:42:53,528",WARN,WorkerSender[myid=3],QuorumCnxManager,368,Cannot open channel to 2 at election address /10.10.34.12:3888,E5,Cannot open channel to <*> at election address /<*>:<*>,1,network_anomaly,Zookeeper_2k,2015-07-29 17:42:53.528,2015-07-29 17:42:53.528,17,2,29,7,0,1,0,23.123,2,2
1463,2015-07-29,"17:43:29,975",INFO,WorkerReceiver[myid=3],FastLeaderElection,542,"Notification: 3 (n.leader), 0x0 (n.zxid), 0x1 (n.round), LOOKING (n.state), 3 (n.sid), 0x0 (n.peerEPoch), LOOKING (my state)",E37,"Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), LOOKING (n.state), <*> (n.sid), <*> (n.peerEPoch), LOOKING (my state)",1,security_anomaly,Zookeeper_2k,2015-07-29 17:43:29.975,2015-07-29 17:43:29.975,17,2,29,7,0,1,0,36.447,3,2
1464,2015-07-29,"17:43:47,783",INFO,WorkerReceiver[myid=3],FastLeaderElection,542,"Notification: 3 (n.leader), 0x0 (n.zxid), 0x1 (n.round), LOOKING (n.state), 3 (n.sid), 0x0 (n.peerEPoch), LOOKING (my state)",E37,"Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), LOOKING (n.state), <*> (n.sid), <*> (n.peerEPoch), LOOKING (my state)",1,security_anomaly,Zookeeper_2k,2015-07-29 17:43:47.783,2015-07-29 17:43:47.783,17,2,29,7,0,1,0,17.808,4,2
755,2015-07-29,"19:03:35,413",ERROR,LearnerHandler-/10.10.34.11,52225:LearnerHandler,562,Unexpected exception causing shutdown while sock still open,E49,Unexpected exception causing shutdown while sock still open,0,normal,Zookeeper_2k,2015-07-29 19:03:35.413,2015-07-29 19:03:35.413,19,2,29,7,0,0,0,4787.63,5,2
756,2015-07-29,"19:03:54,584",ERROR,LearnerHandler-/10.10.34.11,52241:LearnerHandler,562,Unexpected exception causing shutdown while sock still open,E49,Unexpected exception causing shutdown while sock still open,0,normal,Zookeeper_2k,2015-07-29 19:03:54.584,2015-07-29 19:03:54.584,19,2,29,7,0,0,0,19.171,6,2
2,2015-07-29,"19:04:12,394",INFO,/10.10.34.11,3888:QuorumCnxManager$Listener,493,Received connection request /10.10.34.11:45307,E40,Received connection request /<*>:<*>,0,normal,Zookeeper_2k,2015-07-29 19:04:12.394,2015-07-29 19:04:12.394,19,2,29,7,0,0,0,17.81,7,6
3,2015-07-29,"19:04:29,071",WARN,SendWorker,188978561024:QuorumCnxManager$SendWorker,688,Send worker leaving thread,E42,Send worker leaving thread,0,normal,Zookeeper_2k,2015-07-29 19:04:29.071,2015-07-29 19:04:29.071,19,2,29,7,0,0,0,16.677,8,6
4,2015-07-29,"19:04:29,079",WARN,SendWorker,188978561024:QuorumCnxManager$SendWorker,679,Interrupted while waiting for message on queue,E24,Interrupted while waiting for message on queue,1,hardware_issue,Zookeeper_2k,2015-07-29 19:04:29.079,2015-07-29 19:04:29.079,19,2,29,7,0,0,0,0.008,9,6
758,2015-07-29,"19:04:30,989",ERROR,LearnerHandler-/10.10.34.11,52265:LearnerHandler,562,Unexpected exception causing shutdown while sock still open,E49,Unexpected exception causing shutdown while sock still open,0,normal,Zookeeper_2k,2015-07-29 19:04:30.989,2015-07-29 19:04:30.989,19,2,29,7,0,0,0,1.91,10,6
757,2015-07-29,"19:04:30,989",WARN,LearnerHandler-/10.10.34.11,52264:LearnerHandler,575,******* GOODBYE /10.10.34.11:52264 ********,E1,******* GOODBYE /<*>:<*> ********,0,normal,Zookeeper_2k,2015-07-29 19:04:30.989,2015-07-29 19:04:30.989,19,2,29,7,0,0,0,0.0,11,6
759,2015-07-29,"19:04:40,999",ERROR,LearnerHandler-/10.10.34.11,52273:LearnerHandler,562,Unexpected exception causing shutdown while sock still open,E49,Unexpected exception causing shutdown while sock still open,0,normal,Zookeeper_2k,2015-07-29 19:04:40.999,2015-07-29 19:04:40.999,19,2,29,7,0,0,0,10.01,12,6
5,2015-07-29,"19:13:17,524",WARN,SendWorker,188978561024:QuorumCnxManager$SendWorker,688,Send worker leaving thread,E42,Send worker leaving thread,0,normal,Zookeeper_2k,2015-07-29 19:13:17.524,2015-07-29 19:13:17.524,19,2,29,7,0,0,0,516.525,13,11
6,2015-07-29,"19:13:24,282",WARN,RecvWorker,188978561024:QuorumCnxManager$RecvWorker,762,"Connection broken for id 188978561024, my id = 1, error =",E11,"Connection broken for id <*>, my id = <*>, error =",0,normal,Zookeeper_2k,2015-07-29 19:13:24.282,2015-07-29 19:13:24.282,19,2,29,7,0,0,0,6.758,14,11
7,2015-07-29,"19:13:24,370",INFO,/10.10.34.11,3888:QuorumCnxManager$Listener,493,Received connection request /10.10.34.13:57707,E40,Received connection request /<*>:<*>,0,normal,Zookeeper_2k,2015-07-29 19:13:24.370,2015-07-29 19:13:24.370,19,2,29,7,0,0,0,0.088,15,11
8,2015-07-29,"19:13:27,721",WARN,RecvWorker,188978561024:QuorumCnxManager$RecvWorker,762,"Connection broken for id 188978561024, my id = 1, error =",E11,"Connection broken for id <*>, my id = <*>, error =",0,normal,Zookeeper_2k,2015-07-29 19:13:27.721,2015-07-29 19:13:27.721,19,2,29,7,0,0,0,3.351,16,11
9,2015-07-29,"19:13:34,382",WARN,SendWorker,188978561024:QuorumCnxManager$SendWorker,679,Interrupted while waiting for message on queue,E24,Interrupted while waiting for message on queue,1,hardware_issue,Zookeeper_2k,2015-07-29 19:13:34.382,2015-07-29 19:13:34.382,19,2,29,7,0,0,0,6.661,17,11
10,2015-07-29,"19:13:37,626",WARN,SendWorker,188978561024:QuorumCnxManager$SendWorker,688,Send worker leaving thread,E42,Send worker leaving thread,0,normal,Zookeeper_2k,2015-07-29 19:13:37.626,2015-07-29 19:13:37.626,19,2,29,7,0,0,0,3.244,18,11
11,2015-07-29,"19:13:44,301",WARN,SendWorker,188978561024:QuorumCnxManager$SendWorker,688,Send worker leaving thread,E42,Send worker leaving thread,0,normal,Zookeeper_2k,2015-07-29 19:13:44.301,2015-07-29 19:13:44.301,19,2,29,7,0,0,0,6.675,19,11
760,2015-07-29,"19:13:46,128",WARN,LearnerHandler-/10.10.34.11,52308:LearnerHandler,575,******* GOODBYE /10.10.34.11:52308 ********,E1,******* GOODBYE /<*>:<*> ********,0,normal,Zookeeper_2k,2015-07-29 19:13:46.128,2015-07-29 19:13:46.128,19,2,29,7,0,0,0,1.827,20,11
12,2015-07-29,"19:13:47,731",WARN,RecvWorker,188978561024:QuorumCnxManager$RecvWorker,762,"Connection broken for id 188978561024, my id = 1, error =",E11,"Connection broken for id <*>, my id = <*>, error =",0,normal,Zookeeper_2k,2015-07-29 19:13:47.731,2015-07-29 19:13:47.731,19,2,29,7,0,0,0,1.603,21,11
13,2015-07-29,"19:13:54,220",INFO,/10.10.34.11,3888:QuorumCnxManager$Listener,493,Received connection request /10.10.34.11:45382,E40,Received connection request /<*>:<*>,0,normal,Zookeeper_2k,2015-07-29 19:13:54.220,2015-07-29 19:13:54.220,19,2,29,7,0,0,0,6.489,22,11
