test_source,f1_macro,bal_acc,auroc,mcc,threshold
Android_2k,0.4826903335839052,0.6939833216428961,0.7550074039435741,0.11113638187679091,0.52
Apache_2k,0.7038185738380041,0.7967109867039888,0.9916025192442267,0.5423424845058343,0.79
BGL_2k,0.6769075680522253,0.7050192347681431,0.8222376013724266,0.3599577608865843,0.33999999999999997
Hadoop_2k,0.3718694654091105,0.5553822325478482,0.646827082641885,0.2011450265781874,0.8
HealthApp_2k,0.49824385348720523,0.49924585218702866,0.9845971022441612,-0.0028823754222510574,0.7
HPC_2k,0.7116809116809117,0.7171778520093127,0.8274875999595102,0.5347016586604033,0.5700000000000001
Linux_2k,0.4772206590094869,0.7677825902525061,0.9252333057980398,0.2309444698767332,0.75
Mac_2k,0.5371923458734125,0.53822635152562,0.5144831845025357,0.10023719978266472,0.77
Proxifier_2k,0.27718857438020617,0.2921675487970703,0.22700185816209892,-0.18324285395661594,0.75
Spark_2k,0.6992481203007519,0.625,0.9590863453815262,0.49924868477468143,0.8099999999999999
Thunderbird_2k,0.24523013218665393,0.42279281198948787,0.6423879536898928,-0.10803114901231994,0.71
Windows_2k,0.3783231851435663,0.49878283292499676,0.7316742635041236,-0.018857838985172678,0.73
Zookeeper_2k,0.46159390783220294,0.568971882839053,0.7625346293028055,0.12960057530041097,0.8099999999999999
