test_source,f1_macro,bal_acc,auroc,mcc,threshold
Android_2k,0.44662037467305726,0.6023497778816929,0.6184923232795574,0.05289516060707827,0.73
Apache_2k,0.414691249634182,0.49580125962211335,0.9692876725423704,-0.04911163274211976,0.84
BGL_2k,0.5828621686141475,0.5600176751923477,0.8108283296943232,0.2322178239629553,0.87
Hadoop_2k,0.6571598168282479,0.7382066600287642,0.651372386325921,0.48817445445254326,0.7
HealthApp_2k,0.4976136649083145,0.49798893916540976,0.6910279263220439,-0.004712802905426269,0.88
HPC_2k,0.7587151610186232,0.7574096568478591,0.9470138678003847,0.6038614525179226,0.86
Linux_2k,0.45254584430868317,0.7684077158357706,0.910434015762095,0.22808682825840104,0.62
Mac_2k,0.5007931257009617,0.5120322293964283,0.4802420299744588,0.03429159704019412,0.72
Proxifier_2k,0.29918190724064947,0.45780400994631376,0.5857463256605143,-0.03770104723118997,0.83
Spark_2k,0.4518035067319989,0.6473393574297188,0.8846009036144578,0.045948880902869506,0.55
Thunderbird_2k,0.6673970447777965,0.7167412458271184,0.694420058242773,0.3529979963742002,0.84
Windows_2k,0.5096455651560572,0.5175704968739511,0.8120919902250191,0.038839874434455565,0.9
Zookeeper_2k,0.3973070354626145,0.5561086351996062,0.7232811035291777,0.12168836376525136,0.77
