test_source,f1_macro,bal_acc,auroc,mcc,threshold
Android_2k,0.5527528064761393,0.664698776400904,0.5845413451796431,0.15772943150391694,0.74
Apache_2k,0.41673957421988916,0.5,1.0,0.0,0.7
BGL_2k,0.5990363371631888,0.6215819297151175,0.7973704902266584,0.205728661595541,0.82
Hadoop_2k,0.36759037694998564,0.5456189844009293,0.35352030091824316,0.15852122545677114,0.82
HealthApp_2k,0.49824385348720523,0.49924585218702866,0.5614973262032086,-0.0028823754222510574,0.72
HPC_2k,0.356084996780425,0.4981981981981982,0.7313037756857981,-0.04008512489789402,0.83
Linux_2k,0.4230769230769231,0.6760286664731754,0.7417617378491215,0.14923575803805036,0.79
Mac_2k,0.5333047965565623,0.533043679468719,0.5147234164221361,0.06665163578619138,0.66
Proxifier_2k,0.5552474588231202,0.6662350818837321,0.5748330091932976,0.18651125691031342,0.7
Spark_2k,0.45183205557995815,0.5298694779116466,0.5795682730923695,0.009601992792265207,0.6
Thunderbird_2k,0.43825314850049835,0.5708502024291497,0.5336089210881454,0.08409356409386481,0.79
Windows_2k,0.37733111663210855,0.496715008276527,0.20629727109886972,-0.03997560616419572,0.85
Zookeeper_2k,0.3179050467435659,0.30820210420474364,0.3184259312598521,-0.3361192743914462,0.65
