test_source,f1_macro,balanced_acc,auroc,mcc,test_samples,support_samples
Proxifier_2k,0.5080256551674137,0.5103092783505154,0.9971965047049964,0.14013634395090682,2000,30
Spark_2k,0.49874686716791977,0.4994979919678715,0.5058985943775101,-0.0020050147982918934,2000,30
HealthApp_2k,0.49824385348720523,0.49924585218702866,0.42451665981077746,-0.0028823754222510574,2000,30
Android_2k,0.4967287367891293,0.5,0.24822695035460993,0.0,2000,30
BGL_2k,0.4780793319415449,0.5,0.27320843730505306,0.0,2000,30
Thunderbird_2k,0.4743758212877792,0.5,0.19803111016407415,0.0,2000,30
Mac_2k,0.43930473787496493,0.5,0.48768258731251224,0.0,2000,30
Zookeeper_2k,0.42627653471026966,0.5,0.4685050091384701,0.0,2000,30
Apache_2k,0.41673957421988916,0.5,0.621726091629604,0.0,2000,30
Windows_2k,0.37675288251791833,0.5,0.9833246019372196,0.0,2000,30
HPC_2k,0.35691318327974275,0.5,0.545165502581233,0.0,2000,30
Hadoop_2k,0.25650557620817843,0.5,0.4747472065493971,0.0,2000,30
Linux_2k,0.05784586117994543,0.506295907660021,0.8691868902234824,0.024474545151368373,2000,30
