test_source,f1_macro,balanced_acc,auroc,mcc,train_samples,test_samples
Proxifier_2k,1.0,1.0,0.9999999999999999,1.0,30,1400
Apache_2k,0.993041472821981,0.996,1.0,0.9861789997803864,30,1400
Windows_2k,0.9865910658187111,0.987804149490915,0.9997162267113877,0.9732521745790191,30,1400
HPC_2k,0.9797979797979798,0.9808685089583966,0.9990517919891917,0.9597958775426066,30,1400
Zookeeper_2k,0.9658440319222762,0.9590811965811966,0.9963595085470085,0.9321294732361644,30,1400
Mac_2k,0.9482938041638695,0.9660053972580485,0.995312749141824,0.8986800850402613,30,1400
Hadoop_2k,0.9282036219874077,0.9157618573483159,0.9869951299471,0.8608260625000396,30,1400
Linux_2k,0.9060933891662435,0.9823043023942575,0.9981145790740993,0.8250936193445438,30,1400
Thunderbird_2k,0.901840068195321,0.9774525316455696,0.9988947319434103,0.8202965740934213,30,1400
BGL_2k,0.815203899367261,0.9382519368571354,0.9737830191173749,0.6728474592581886,30,1400
